Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,71.05289141931303,1386.858028687942,450.3061170568386,1311.71627750722
125.8925411794169,70.16812367242683,1664.864270047232,564.8240563123738,1566.124778901969
158.4893192461114,69.04446018350542,1989.295617723076,711.45845861235,1857.720085578335
199.5262314968881,67.638569128222,2365.965201968366,900.1265499192964,2188.050166485128
251.1886431509582,65.9811430457036,2801.134919970921,1140.166348299695,2558.588974041246
316.2277660168383,64.10446915501799,3296.544281867369,1439.705125313955,2965.544360561342
398.1071705534974,62.0165609804259,3858.022201487022,1810.247029226151,3406.954798694087
501.187233627273,59.88251158167358,4481.189293142815,2248.547791321963,3876.221138056873
630.9573444801937,57.56525490079763,5178.752137912144,2777.565244729542,4370.881492010521
794.3282347242822,55.2070386401106,5945.800092065128,3392.748968658618,4882.805870651378
1000,52.80397617651887,6795.380872247948,4108.105621788783,5413.009273882752
1258.925411794168,50.36686871154822,7731.288240141754,4931.55244216251,5954.209297829155
1584.893192461115,47.83831503583009,8777.125380640962,5891.426384759835,6506.076014038525
1995.262314968881,45.16152629914275,9952.822534247272,7017.839899225974,7057.520779073363
2511.886431509583,42.22664968124954,11317.65467951906,8380.633680831317,7606.200533285678
3162.277660168382,38.71733234059974,12911.85557102818,10074.3620945412,8076.090804043929
3981.071705534974,34.22181736632741,14843.5117906908,12273.60236699653,8347.965453763803
5011.872336272725,28.00941626821092,17213.24860084093,15197.06811966501,8083.628390804072
6309.573444801934,18.85690252341061,20064.72468255491,18987.82561787661,6485.033145006822
7943.282347242819,5.41146130237362,22989.69685110884,22887.23451942634,2168.099942037563
10000,-13.00239386366324,24397.75048786116,23772.20839715522,-5489.292922604165
12589.25411794167,-33.57731774074899,22514.66182881359,18757.8710329327,-12451.99869810867
15848.93192461114,-51.09316856184522,18267.99489526029,11473.32095145841,-14215.57398904741
19952.62314968881,-63.27704985939028,13975.30132206184,6284.368880952325,-12482.61810721379
25118.86431509582,-71.26290724585088,10564.16127894643,3393.484733809543,-10004.28732539169
31622.77660168381,-76.36368967569899,8034.814038298245,1894.271939264203,-7808.326994315158
39810.71705534974,-79.68914229728993,6166.875355744882,1103.800760863073,-6067.287329079748
50118.72336272725,-81.7683082837335,4772.600751835894,683.3237066288353,-4723.429543073928
63095.73444801934,-83.08907349958935,3726.570355264741,448.403896560319,-3699.49463552625
79432.82347242816,-83.73005036656699,2921.154621572244,319.0280174144846,-2903.681361175407
100000,-83.93880058023569,2300.696031660128,242.9320664556424,-2287.834399860325
