Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,71.0714837216583,1382.049490589598,448.3206122546602,1307.313819657153
125.8925411794169,70.15784086116025,1660.57292032638,563.6485044751289,1561.986807602494
158.4893192461114,69.04687656745439,1984.570960214082,709.6905542400025,1853.337857312466
199.5262314968881,67.63374859618889,2361.753279460339,898.707891598026,2184.079366374101
251.1886431509582,65.9640394389538,2798.43541001938,1139.830535547114,2555.78306870609
316.2277660168383,63.99849819748878,3300.7073306349,1447.012617453764,2966.618170145355
398.1071705534974,61.8130054143659,3871.923016618006,1828.905578240041,3412.754346931338
501.187233627273,59.49060123166245,4514.064730659711,2291.699016088611,3889.073927330828
630.9573444801937,57.00018207442109,5236.593239182366,2852.039132360541,4391.785689231044
794.3282347242822,54.32478529477575,6045.70728424749,3525.795194469287,4911.144959524249
1000,51.43735866951582,6967.068580745297,4343.06076041699,5447.739700108155
1258.925411794168,48.28056491756821,8009.760159280429,5330.363871052248,5978.58501749176
1584.893192461115,44.7230997845451,9217.753214909859,6549.35957965311,6486.359797867144
1995.262314968881,40.40500362845756,10646.57216541176,8107.169919145263,6900.963322278024
2511.886431509583,34.94421381679076,12369.49584881357,10139.40092776657,7084.982454447051
3162.277660168382,27.3119811510136,14419.54791169846,12812.07552475789,6616.198510146683
3981.071705534974,16.37743984374903,16748.05880330431,16068.50752054201,4722.344729181043
5011.872336272725,0.8159769713112621,18694.5983936879,18692.70260754975,266.2298386378661
6309.573444801934,-18.76070534651107,18828.84693291098,17828.47131358446,-6055.665730841416
7943.282347242819,-38.08866330963695,16456.14162566451,12951.92302053981,-10151.46724734603
10000,-52.93745307765425,13040.98750257641,7859.627044417276,-10406.42194824997
12589.25411794167,-62.7953547095136,9957.511912571057,4552.276074906345,-8856.005082814134
15848.93192461114,-69.12925024006026,7587.139670232984,2703.00218857309,-7089.320668737743
19952.62314968881,-73.03363048534568,5818.486954058573,1697.894651521659,-5565.244306127446
25118.86431509582,-75.29912975223868,4496.317958021947,1141.042460880689,-4349.126036584591
31622.77660168381,-76.39034774777591,3489.650407117728,821.135154539293,-3391.665818130768
39810.71705534974,-76.43353928667031,2711.737694331388,636.1007582492498,-2636.076089230438
50118.72336272725,-75.32268331277648,2099.541003540282,531.9711699902197,-2031.029074101641
63095.73444801934,-72.65646114405347,1609.690878716278,479.8493458178129,-1536.505558187344
79432.82347242816,-67.09009902346827,1215.67851419471,473.243136400588,-1119.783543245922
100000,-54.95315508279816,915.75533202883,525.8688196163243,-749.713153609143
