Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
100.0000000000001,10.61735181015847,327.678075154876,322.0680938327247,60.37436436236685
125.8925411794169,8.996937051871919,331.5246877118608,327.4458406647951,51.84438247074083
158.4893192461114,7.678840733593749,334.3324229580281,331.334334762832,44.67356766878347
199.5262314968881,6.616286803152833,336.6238099938127,334.381913470242,38.78563392198397
251.1886431509582,5.776229417986591,338.5284767939526,336.8096150175314,34.07070342942708
316.2277660168383,5.139404465152055,339.9753862158721,338.6085810984752,30.45475396565849
398.1071705534974,4.671055155254516,341.271360488493,340.1378800733985,27.79143804917826
501.187233627273,4.365913708344599,342.2816765564079,341.2884495137479,26.05648354570041
630.9573444801937,4.199193953641557,343.3167610417258,342.3951297553301,25.13908375442755
794.3282347242822,4.17670432254906,344.2243960341343,343.3101953946106,25.0707910361611
1000,4.325406336827004,345.2571531624145,344.2737876324003,26.0396036654909
1258.925411794168,4.602581819265476,346.0306164674372,344.914758936333,27.76682554282853
1584.893192461115,5.072304232531929,346.9580149539818,345.5992992550888,30.67553577688596
1995.262314968881,5.737595757447365,347.9470470639555,346.2038967754776,34.78518963583307
2511.886431509583,6.670146458066635,349.3067376169957,346.942386899024,40.57310830385921
3162.277660168382,7.904213435713931,350.6850784674677,347.3533433702319,48.22529532574977
3981.071705534974,9.51351297555669,352.9384262668259,348.0843399632424,58.33373816289865
5011.872336272725,11.56998893881489,355.9576832165362,348.7247790705542,71.39258156893544
6309.573444801934,14.16334221072753,360.507063998463,349.5484059269872,88.21142276765532
7943.282347242819,17.35681769492421,367.3148295917463,350.5893091851892,109.5779189575413
10000,21.23212922915022,378.15055186815,352.4820213016897,136.9462103793367
12589.25411794167,25.82811271562898,394.6881517251709,355.2608233234088,171.9548909563356
15848.93192461114,31.07741443450466,419.8834160704641,359.6178145698739,216.7420368433181
19952.62314968881,36.77900902282749,457.9413706117247,366.7884963780094,274.1833288923744
25118.86431509582,42.71666766461875,514.5781622792679,378.0694695860161,349.0761539573521
31622.77660168381,48.44735257192799,599.1236381519119,397.4034794385499,448.3521030646752
39810.71705534974,53.53061573602958,725.171186907844,431.0367966921655,583.1642394889178
50118.72336272725,57.48613990975245,920.1275013913497,494.5718560182855,775.9080474201286
63095.73444801934,59.68127727688978,1240.820326434957,626.3781756639164,1071.114122559355
79432.82347242816,58.54624309860967,1845.351544870402,962.9233206529059,1574.198527091917
100000,47.74523472833961,3308.285042335674,2224.5847145899,2448.667549700229
