#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B0E76B
#Date Time: 2023-10-18 15:45:16.671
#Start: 100 Hz
#Stop: 60000 Hz
#Steps: 200
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44828 V
#Offset: -0.00010025 V
#Relative: no
#Channel: Channel 2
#Range: 5.42508 V
#Offset: 0.000324114 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,0.02959769528196114,-14.55735615412381,-93.46494670385722
103.2667618605337,0.02940990509653772,-14.27371777884408,-93.6344545338938
106.6402410516019,0.02870463533076889,-13.99611589869109,-93.84493378753848
110.1239237742567,0.03052634955730361,-13.72613852533076,-93.9795477817172
113.7214101154374,0.02732737548579491,-13.44309673619666,-94.11188846090687
117.4364177683496,0.02854960171432008,-13.17241751367393,-94.3492657908927
121.2727858743832,0.02808409464218249,-12.8838371220486,-94.4801073260091
125.2344789905342,0.02865138209647127,-12.60988497780118,-94.70498999402753
129.325591186435,0.02799590273454913,-12.33327022741819,-94.85681209856313
133.5503502752232,0.02990551261007001,-12.0604554962237,-95.07158150538538
137.9131221826233,0.02877309169711255,-11.78226763136018,-95.30610301837208
142.4184154587566,0.02832463632038454,-11.5045592998965,-95.46560705252455
147.0708859373397,0.03173839558074969,-11.23353687684834,-95.68991097048774
151.8753415470897,0.03063365569797628,-10.95867217978576,-95.92384285866223
156.8367472803053,0.02890286673071654,-10.67701876812608,-96.13358714293503
161.9602303237601,0.02900803235403104,-10.40676872812124,-96.31181233558408
167.2510853572091,0.02791264465203869,-10.12602599636035,-96.60232911273221
172.7147800249873,0.02854442696179134,-9.856757917477768,-96.79070674688529
178.356960586348,0.02966052101483502,-9.576159922696089,-97.02850722012067
184.1834577503901,0.02856298898306985,-9.306978609814191,-97.31029948269764
190.200292701592,0.02724367205662912,-9.032208286677635,-97.56954082967748
196.4136833221911,0.02842630477119681,-8.758048723920011,-97.83438977431362
202.83005061783,0.02986649912095509,-8.484189019244985,-98.1145606987069
209.4560253531142,0.02963799402815839,-8.214912701324145,-98.38820258850276
216.2984549039398,0.02888745443882795,-7.943044266997129,-98.71329493622886
223.3644103336653,0.02819694267569047,-7.67370610116633,-99.00576723620846
230.6611937004517,0.02901327145204601,-7.401527461020843,-99.31377371449511
238.1963456033097,0.02789189800071815,-7.125733813176006,-99.61936944908074
245.9776529746637,0.0304464686988747,-6.858879308787865,-99.95149567232846
254.0131571274758,0.02706821970613357,-6.583683005854343,-100.2941630413747
262.3111620652537,0.02869720913560803,-6.31644515184334,-100.6658373932095
270.8802430635243,0.02902787779486238,-6.049566533515018,-100.9764407086418
279.7292555316445,0.02785382730648364,-5.780136383670657,-101.3693247438667
288.8673441641071,0.02884507383730607,-5.511721233532308,-101.7544871329088
298.3039523907967,0.0289524257952377,-5.24807447662393,-102.1491494142307
308.0488321359641,0.02753924002697707,-4.978930425484748,-102.5426447246592
318.1120538960012,0.02992626433598303,-4.716808885631403,-102.9368719408427
328.5040171464361,0.02661084074470928,-4.449142532416486,-103.385225293345
339.235461088897,0.02578047632097218,-4.187693199761275,-103.7893059067848
350.3174757491549,0.02931071686639085,-3.923044344142643,-104.2384294329167
361.7615134377127,0.02949127728391579,-3.663599772005797,-104.7236757027277
373.5794005847853,0.02765611696302512,-3.39872412054712,-105.1573623967951
385.7833499618998,0.02881138343061798,-3.143069620368269,-105.6259232904105
398.3859733027439,0.02927231211971504,-2.883504451628855,-106.1535514034861
411.4002943363142,0.02737885546903122,-2.624512461041375,-106.6544200659981
424.8397622458162,0.03009920602627299,-2.374378935477838,-107.1760020755523
438.718265567245,0.03110336465873267,-2.124165915520932,-107.7166540988902
453.0501465419906,0.02601845682142297,-1.8655153951711,-108.2486706473013
467.8502159383164,0.02812052966091706,-1.616241022055878,-108.8494082199666
483.1337683570142,0.02842106035928903,-1.367456957983147,-109.4006013149766
498.9165980370598,0.02814002017166727,-1.119574132466272,-110.0169212853395
515.215015177607,0.02787076346079254,-0.8748741531786863,-110.5835441878076
532.045862793172,0.02997093300442026,-0.6349524362120956,-111.2281037501273
549.4265341194466,0.02780673280285034,-0.3897936316184342,-111.8531882918238
567.3749905877133,0.02799995967930532,-0.1547715468281873,-112.5139631350219
585.9097803864394,0.0291605663901684,0.08339249495561399,-113.1701639838677
605.0500576292402,0.02950729882291761,0.3154361910831475,-113.8824282307925
624.8156021490097,0.02868935670036164,0.5504788343543352,-114.5411268179083
645.226839938677,0.02645072890787156,0.7840982824848713,-115.2572212296866
666.3048642597211,0.02939801151454819,1.004760723321776,-115.9898904114159
688.0714574402384,0.02832276373379612,1.230544391881067,-116.7133530698896
710.5491133851147,0.03084853338257371,1.450183463215209,-117.4819499743712
733.7610608215398,0.02885815791778874,1.671085208419404,-118.2331351592866
757.7312873039052,0.02664629889496615,1.886915547573595,-118.9990857187997
