Frequency,V(C2:1),V(C1:2)
1.000000000000e+02,1.778860535394e-05,1.000000000000e-01
1.122018454302e+02,2.239398703847e-05,1.000000000000e-01
1.258925411794e+02,2.819150311928e-05,1.000000000000e-01
1.412537544623e+02,3.548964274129e-05,1.000000000000e-01
1.584893192461e+02,4.467666272632e-05,1.000000000000e-01
1.778279410039e+02,5.624117833564e-05,1.000000000000e-01
1.995262314969e+02,7.079804864125e-05,1.000000000000e-01
2.238721138568e+02,8.912090590687e-05,1.000000000000e-01
2.511886431510e+02,1.121830152463e-04,1.000000000000e-01
2.818382931264e+02,1.412085676424e-04,1.000000000000e-01
3.162277660168e+02,1.777370226716e-04,1.000000000000e-01
3.548133892336e+02,2.237037453466e-04,1.000000000000e-01
3.981071705535e+02,2.815409437187e-04,1.000000000000e-01
4.466835921510e+02,3.543038287575e-04,1.000000000000e-01
5.011872336273e+02,4.458279997402e-04,1.000000000000e-01
5.623413251903e+02,5.609253107308e-04,1.000000000000e-01
6.309573444802e+02,7.056268800471e-04,1.000000000000e-01
7.079457843841e+02,8.874834112979e-04,1.000000000000e-01
7.943282347243e+02,1.115934485499e-03,1.000000000000e-01
8.912509381337e+02,1.402759741083e-03,1.000000000000e-01
1.000000000000e+03,1.762625505347e-03,1.000000000000e-01
1.122018454302e+03,2.213739859959e-03,1.000000000000e-01
1.258925411794e+03,2.778626349801e-03,1.000000000000e-01
1.412537544623e+03,3.485020136132e-03,1.000000000000e-01
1.584893192461e+03,4.366878298423e-03,1.000000000000e-01
1.778279410039e+03,5.465475458878e-03,1.000000000000e-01
1.995262314969e+03,6.830523583611e-03,1.000000000000e-01
2.238721138568e+03,8.521207186543e-03,1.000000000000e-01
2.511886431510e+03,1.060695967389e-02,1.000000000000e-01
2.818382931264e+03,1.316772383375e-02,1.000000000000e-01
3.162277660168e+03,1.629334685290e-02,1.000000000000e-01
3.548133892336e+03,2.008167654790e-02,1.000000000000e-01
3.981071705535e+03,2.463488537368e-02,1.000000000000e-01
4.466835921510e+03,3.005360310711e-02,1.000000000000e-01
5.011872336273e+03,3.642864584310e-02,1.000000000000e-01
5.623413251903e+03,4.383052918728e-02,1.000000000000e-01
6.309573444802e+03,5.229753458835e-02,1.000000000000e-01
7.079457843841e+03,6.182375907383e-02,1.000000000000e-01
7.943282347243e+03,7.234913003966e-02,1.000000000000e-01
8.912509381337e+03,8.375358262958e-02,1.000000000000e-01
1.000000000000e+04,9.585731399394e-02,1.000000000000e-01
1.122018454302e+04,1.084282265726e-01,1.000000000000e-01
1.258925411794e+04,1.211964840108e-01,1.000000000000e-01
1.412537544623e+04,1.338747563130e-01,1.000000000000e-01
1.584893192461e+04,1.461814969106e-01,1.000000000000e-01
1.778279410039e+04,1.578637768283e-01,1.000000000000e-01
1.995262314969e+04,1.687160992877e-01,1.000000000000e-01
2.238721138568e+04,1.785923936484e-01,1.000000000000e-01
2.511886431510e+04,1.874098975980e-01,1.000000000000e-01
2.818382931264e+04,1.951454093749e-01,1.000000000000e-01
3.162277660168e+04,2.018258336862e-01,1.000000000000e-01
3.548133892336e+04,2.075156441831e-01,1.000000000000e-01
3.981071705535e+04,2.123037877469e-01,1.000000000000e-01
4.466835921510e+04,2.162919103003e-01,1.000000000000e-01
