#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0E736,,
#Date Time: 2023-10-25 13:54:57.966,,
#Sample rate: 1.5873e+06Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 1 kHz,,
#Period: 1 ms,,
#Amplitude: 1 V,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 ¡,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 3.3 V,,
#Negative Supply: ON,,
#Voltage: -3.3 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-0.002356031,-0.760740324,-2.464322113
-0.002355401,-0.764425364,-2.409311929
-0.002354771,-0.771795445,-2.357969091
-0.002354141,-0.768110404,-2.302958907
-0.002353511,-0.782850565,-2.255283415
-0.002352881,-0.768110404,-2.211275268
-0.002352251,-0.775480485,-2.15993243
-0.002351621,-0.786535606,-2.112256937
-0.002350991,-0.786535606,-2.064581445
-0.002350361,-0.790220646,-2.00223657
-0.002349731,-0.768110404,-1.950893732
-0.002349101,-0.775480485,-1.895883548
-0.002348471,-0.793905686,-1.855542746
-0.002347841,-0.790220646,-1.793197872
-0.002347211,-0.793905686,-1.749189725
-0.002346581,-0.793905686,-1.694179541
-0.002345951,-0.808645847,-1.642836703
-0.002345321,-0.801275767,-1.587826519
-0.002344691,-0.812330888,-1.540151026
-0.002344061,-0.804960807,-1.481473497
-0.002343431,-0.804960807,-1.415461277
-0.002342801,-0.816015928,-1.367785784
-0.002342171,-0.819700968,-1.3127756
-0.002341541,-0.816015928,-1.265100108
-0.002340911,-0.827071049,-1.21375727
-0.002340281,-0.823386009,-1.151412395
-0.002339651,-0.827071049,-1.107404248
-0.002339021,-0.830756089,-1.059728755
-0.002338391,-0.827071049,-0.997383881
-0.002337761,-0.816015928,-0.942373697
-0.002337131,-0.812330888,-0.887363513
-0.002336501,-0.819700968,-0.839688021
