#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0E736,,
#Date Time: 2023-10-25 13:54:12.915,,
#Sample rate: 400000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 500 Hz,,
#Period: 2 ms,,
#Amplitude: 1 V,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 ¡,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 3.3 V,,
#Negative Supply: ON,,
#Voltage: -3.3 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-0.010014167,-0.045842508,9.227175599
-0.010011667,-0.042157467,9.223508253
-0.010009167,-0.027417306,9.227175599
-0.010006667,-0.020047226,9.227175599
-0.010004167,-0.016362185,9.230842944
-0.010001667,-0.005307065,9.227175599
-0.009999167,0.005748056,9.223508253
-0.009996667,0.016803177,9.223508253
-0.009994167,0.013118137,9.23451029
-0.009991667,0.031543338,9.23451029
-0.009989167,0.035228379,9.227175599
-0.009986667,0.0462835,9.223508253
-0.009984167,0.042598459,9.223508253
-0.009981667,0.04996854,9.23451029
-0.009979167,0.068393741,9.227175599
-0.009976667,0.068393741,9.212506216
-0.009974167,0.079448862,9.186834797
-0.009971667,0.086818943,9.172165415
-0.009969167,0.097874064,9.153828687
-0.009966667,0.101559104,9.124489922
-0.009964167,0.112614225,9.106153195
-0.009961667,0.119984305,9.084149121
-0.009959167,0.123669346,9.047475665
-0.009956667,0.142094547,9.014469555
-0.009954167,0.149464628,8.992465482
-0.009951667,0.149464628,8.955792026
-0.009949167,0.160519748,8.91911857
-0.009946667,0.160519748,8.878777769
-0.009944167,0.17525991,8.838436967
-0.009941667,0.18631503,8.798096166
-0.009939167,0.17894495,8.757755364
-0.009936667,0.197370151,8.702745181
-0.009934167,0.212110312,8.655069688
-0.009931667,0.215795353,8.611061541
-0.009929167,0.219480393,8.559718703
-0.009926667,0.230535514,8.493706483
-0.009924167,0.237905594,8.44603099
-0.009921667,0.241590635,8.387353461
-0.009919167,0.252645756,8.32134124
-0.009916667,0.256330796,8.266331057
-0.009914167,0.263700877,8.200318836
-0.009911667,0.271070957,8.137973961
-0.009909167,0.278441038,8.06462705
-0.009906667,0.285811118,7.998614829
-0.009904167,0.293181199,7.925267918
-0.009901667,0.30792136,7.851921006
-0.009899167,0.30792136,7.778574094
-0.009896667,0.315291441,7.697892492
-0.009894167,0.330031602,7.617210889
-0.009891667,0.330031602,7.543863977
-0.009889167,0.337401682,7.455847683
-0.009886667,0.341086723,7.367831389
-0.009884167,0.352141843,7.283482441
-0.009881667,0.355826884,7.188131456
-0.009879167,0.363196964,7.107449853
-0.009876667,0.385307206,7.012098868
-0.009874167,0.385307206,6.909413192
-0.009871667,0.392677287,6.817729552
-0.009869167,0.400047367,6.718711221
-0.009866667,0.414787528,6.616025545
-0.009864167,0.407417448,6.517007215
-0.009861667,0.418472569,6.417988884
-0.009859167,0.429527689,6.304301171
-0.009856667,0.44058281,6.197948149
-0.009854167,0.44058281,6.091595127
-0.009851667,0.447952891,5.98157476
-0.009849167,0.455322972,5.867887047
-0.009846667,0.470063133,5.750531988
-0.009844167,0.473748173,5.640511621
-0.009841667,0.473748173,5.523156562
-0.009839167,0.488488334,5.398466812
-0.009836667,0.495858415,5.277444408
-0.009834167,0.495858415,5.152754658
-0.009831667,0.506913536,5.031732254
-0.009829167,0.514283616,4.907042505
-0.009826667,0.525338737,4.775018064
-0.009824167,0.529023777,4.65399566
-0.009821667,0.536393858,4.521971219
-0.009819167,0.536393858,4.378944741
-0.009816667,0.543763938,4.2469203
-0.009814167,0.554819059,4.118563205
-0.009811667,0.56587418,3.968202036
-0.009809167,0.56587418,3.836177595
-0.009806667,0.573244261,3.696818463
-0.009804167,0.584299382,3.55012464
-0.009801667,0.587984422,3.403430816
-0.009799167,0.587984422,3.260404339
-0.009796667,0.602724583,3.113710516
-0.009794167,0.602724583,2.967016692
-0.009791667,0.606409623,2.812988178
-0.009789167,0.617464744,2.655292318
-0.009786667,0.624834825,2.508598495
-0.009784167,0.632204905,2.350902635
-0.009781667,0.635889946,2.193206775
-0.009779167,0.635889946,2.035510915
-0.009776667,0.650630107,1.877815055
-0.009774167,0.658000187,1.716451849
-0.009771667,0.661685228,1.551421298
-0.009769167,0.669055308,1.390058093
-0.009766667,0.672740349,1.221360196
-0.009764167,0.680110429,1.05999699
-0.009761667,0.68748051,0.898633785
-0.009759167,0.69116555,0.722601197
-0.009756667,0.68748051,0.550235955
-0.009754167,0.698535631,0.381538058
-0.009751667,0.705905711,0.20550547
-0.009749167,0.705905711,0.036807573
-0.009746667,0.720645872,-0.150227051
-0.009744167,0.720645872,-0.329926985
-0.009741667,0.735386033,-0.498624882
-0.009739167,0.728015953,-0.678324815
-0.009736667,0.731700993,-0.86535944
-0.009734167,0.739071074,-1.045059373
-0.009731667,0.753811235,-1.228426652
-0.009729167,0.753811235,-1.415461277
-0.009726667,0.761181315,-1.598828556
-0.009724167,0.768551396,-1.78586318
-0.009721667,0.775921477,-1.969230459
-0.009719167,0.779606517,-2.167267121
-0.009716667,0.783291557,-2.357969091
-0.009714167,0.786976597,-2.545003716
-0.009711667,0.790661638,-2.739373031
-0.009709167,0.805401799,-2.926407656
-0.009706667,0.798031718,-3.124444317
-0.009704167,0.809086839,-3.322480979
-0.009701667,0.809086839,-3.516850295
-0.009699167,0.81645692,-3.714886956
-0.009696667,0.81645692,-3.920258308
-0.009694167,0.823827,-4.114627624
-0.009691667,0.823827,-4.312664286
-0.009689167,0.834882121,-4.518035638
-0.009686667,0.834882121,-4.723406991
-0.009684167,0.838567161,-4.928778343
-0.009681667,0.838567161,-5.126815004
-0.009679167,0.853307323,-5.332186357
-0.009676667,0.856992363,-5.544892401
-0.009674167,0.860677403,-5.742929062
-0.009671667,0.860677403,-5.955635106
-0.009669167,0.868047484,-6.168341149
-0.009666667,0.879102605,-6.370045156
-0.009664167,0.868047484,-6.590085891
-0.009661667,0.879102605,-6.795457244
-0.009659167,0.886472685,-7.011830633
-0.009656667,0.886472685,-7.21353464
-0.009654167,0.893842766,-7.429908029
-0.009651667,0.897527806,-7.646281418
-0.009649167,0.904897887,-7.858987462
-0.009646667,0.901212846,-8.071693506
-0.009644167,0.904897887,-8.291734241
-0.009641667,0.912267967,-8.489770902
-0.009639167,0.904897887,-8.596123924
-0.009636667,0.915953008,-8.629130034
-0.009634167,0.919638048,-8.647466762
-0.009631667,0.923323088,-8.658468799
-0.009629167,0.927008128,-8.673138181
-0.009626667,0.930693169,-8.669470836
-0.009624167,0.930693169,-8.669470836
-0.009621667,0.934378209,-8.669470836
-0.009619167,0.94174829,-8.66580349
-0.009616667,0.94174829,-8.673138181
-0.009614167,0.94543333,-8.66580349
-0.009611667,0.94543333,-8.66580349
-0.009609167,0.94911837,-8.662136144
-0.009606667,0.956488451,-8.658468799
-0.009604167,0.956488451,-8.658468799
-0.009601667,0.956488451,-8.662136144
-0.009599167,0.967543572,-8.658468799
-0.009596667,0.956488451,-8.654801453
-0.009594167,0.967543572,-8.654801453
-0.009591667,0.963858531,-8.651134108
-0.009589167,0.971228612,-8.654801453
-0.009586667,0.974913652,-8.654801453
-0.009584167,0.974913652,-8.647466762
-0.009581667,0.978598692,-8.647466762
-0.009579167,0.978598692,-8.647466762
-0.009576667,0.985968773,-8.651134108
-0.009574167,0.985968773,-8.643799416
-0.009571667,0.985968773,-8.643799416
-0.009569167,0.982283733,-8.636464725
-0.009566667,0.985968773,-8.640132071
-0.009564167,0.985968773,-8.636464725
-0.009561667,0.989653813,-8.640132071
-0.009559167,0.993338854,-8.640132071
-0.009556667,0.993338854,-8.640132071
-0.009554167,0.993338854,-8.636464725
-0.009551667,1.004393974,-8.63279738
-0.009549167,0.993338854,-8.636464725
-0.009546667,1.000708934,-8.636464725
-0.009544167,1.000708934,-8.63279738
-0.009541667,1.004393974,-8.63279738
-0.009539167,1.004393974,-8.629130034
-0.009536667,1.011764055,-8.636464725
-0.009534167,1.008079015,-8.63279738
-0.009531667,0.997023894,-8.63279738
-0.009529167,1.008079015,-8.629130034
-0.009526667,1.011764055,-8.63279738
-0.009524167,1.011764055,-8.640132071
-0.009521667,1.008079015,-8.63279738
-0.009519167,1.015449095,-8.63279738
-0.009516667,1.004393974,-8.63279738
-0.009514167,1.011764055,-8.636464725
-0.009511667,1.011764055,-8.621795343
-0.009509167,1.011764055,-8.636464725
-0.009506667,1.019134136,-8.636464725
-0.009504167,1.011764055,-8.625462689
