#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0E736,,
#Date Time: 2023-10-25 13:58:46.494,,
#Sample rate: 1.42857e+07Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Square,,
#Frequency: 10 kHz,,
#Period: 100 us,,
#Amplitude: 1 V,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 °,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 3.3 V,,
#Negative Supply: ON,,
#Voltage: -3.3 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-6.18E-05,1.019134136,5.424138231
-6.17E-05,1.022819176,5.420470886
-6.16E-05,1.030189256,5.409468849
-6.16E-05,1.037559337,5.424138231
-6.15E-05,1.037559337,5.405801504
-6.14E-05,1.044929418,5.402134158
-6.14E-05,1.052299498,5.365460702
-6.13E-05,1.052299498,5.449809651
-6.12E-05,1.052299498,5.273777063
-6.12E-05,1.044929418,5.435140268
-6.11E-05,1.048614458,5.284779099
-6.10E-05,1.041244377,5.387464776
-6.09E-05,1.037559337,5.299448482
-6.09E-05,1.033874297,5.339789283
-6.08E-05,1.037559337,5.321452555
-6.07E-05,1.037559337,5.31778521
-6.07E-05,1.033874297,5.328787246
-6.06E-05,1.033874297,5.284779099
-6.05E-05,1.033874297,5.332454592
-6.05E-05,1.030189256,5.255440335
-6.04E-05,1.026504216,5.314117864
-6.03E-05,1.033874297,5.244438298
-6.02E-05,1.030189256,5.288446445
-6.02E-05,1.044929418,5.22610157
-6.01E-05,1.033874297,5.273777063
-6.00E-05,1.030189256,5.218766879
-6.00E-05,1.026504216,5.255440335
-5.99E-05,1.026504216,5.215099533
-5.98E-05,1.026504216,5.229768916
-5.98E-05,1.026504216,5.196762805
-5.97E-05,1.022819176,5.204097497
-5.96E-05,1.022819176,5.19309546
-5.95E-05,1.015449095,5.19309546
-5.95E-05,1.019134136,5.19309546
-5.94E-05,1.011764055,5.189428114
-5.93E-05,1.011764055,5.19309546
-5.93E-05,1.015449095,5.174758732
-5.92E-05,1.008079015,5.171091386
-5.91E-05,1.022819176,5.163756695
-5.91E-05,1.030189256,5.149087313
-5.90E-05,1.026504216,5.138085276
-5.89E-05,1.037559337,5.138085276
-5.88E-05,1.033874297,5.116081203
-5.88E-05,1.037559337,5.127083239
-5.87E-05,1.030189256,5.105079166
-5.86E-05,1.026504216,5.108746512
-5.86E-05,1.026504216,5.094077129
-5.85E-05,1.022819176,5.083075092
-5.84E-05,1.030189256,5.06840571
-5.84E-05,1.026504216,5.064738365
-5.83E-05,1.030189256,5.06840571
-5.82E-05,1.019134136,5.050068982
-5.81E-05,1.030189256,5.046401637
-5.81E-05,1.026504216,5.031732254
-5.80E-05,1.026504216,5.0353996
-5.79E-05,1.022819176,5.028064909
-5.79E-05,1.022819176,5.024397563
-5.78E-05,1.022819176,5.009728181
-5.77E-05,1.030189256,5.00239349
-5.77E-05,1.041244377,4.995058799
-5.76E-05,1.041244377,4.995058799
-5.75E-05,1.033874297,4.987724107
-5.74E-05,1.041244377,4.980389416
-5.74E-05,1.030189256,4.962052688
-5.73E-05,1.033874297,4.962052688
-5.72E-05,1.033874297,4.962052688
-5.72E-05,1.037559337,4.947383306
-5.71E-05,1.033874297,4.932713924
-5.70E-05,1.041244377,4.929046578
-5.70E-05,1.033874297,4.918044541
-5.69E-05,1.022819176,4.918044541
-5.68E-05,1.015449095,4.907042505
-5.67E-05,1.019134136,4.907042505
-5.67E-05,1.022819176,4.91070985
-5.66E-05,1.026504216,4.896040468
-5.65E-05,1.022819176,4.892373122
-5.65E-05,1.022819176,4.881371086
-5.64E-05,1.026504216,4.870369049
-5.63E-05,1.026504216,4.855699666
-5.63E-05,1.037559337,4.841030284
-5.62E-05,1.041244377,4.837362939
-5.61E-05,1.037559337,4.830028247
-5.60E-05,1.033874297,4.830028247
-5.60E-05,1.026504216,4.811691519
-5.59E-05,1.026504216,4.800689483
-5.58E-05,1.019134136,4.7860201
-5.58E-05,1.019134136,4.789687446
-5.57E-05,1.026504216,4.778685409
-5.56E-05,1.022819176,4.775018064
-5.56E-05,1.019134136,4.764016027
-5.55E-05,1.022819176,4.745679299
-5.54E-05,1.026504216,4.745679299
-5.53E-05,1.030189256,4.731009917
-5.53E-05,1.022819176,4.734677262
-5.52E-05,1.026504216,4.716340534
-5.51E-05,1.022819176,4.72000788
