#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0E736,,
#Date Time: 2023-10-25 13:57:48.757,,
#Sample rate: 1.5873e+06Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Square,,
#Frequency: 1 kHz,,
#Period: 1 ms,,
#Amplitude: 1 V,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 ¡,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 3.3 V,,
#Negative Supply: ON,,
#Voltage: -3.3 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-0.002355822,-0.996582902,5.512154525
-0.002355192,-0.989212822,5.585501437
-0.002354562,-0.989212822,5.640511621
-0.002353932,-0.996582902,5.710191187
-0.002353302,-1.007638023,5.772536062
-0.002352672,-0.996582902,5.827546245
-0.002352042,-0.989212822,5.900893157
-0.002351412,-0.989212822,5.952235995
-0.002350782,-0.989212822,6.01458087
-0.002350152,-0.996582902,6.076925745
-0.002349522,-0.992897862,6.150272656
-0.002348892,-0.989212822,6.219952223
-0.002348262,-1.000267942,6.274962406
-0.002347632,-0.992897862,6.340974627
-0.002347002,-1.000267942,6.406986847
-0.002346372,-0.989212822,6.465664376
-0.002345742,-0.985527781,6.531676597
-0.002345112,-0.981842741,6.590354126
-0.002344482,-0.992897862,6.652699001
-0.002343852,-0.989212822,6.715043876
-0.002343222,-1.000267942,6.77005406
-0.002342592,-0.985527781,6.832398934
-0.002341962,-0.985527781,6.898411155
-0.002341332,-0.978157701,6.971758067
-0.002340702,-1.000267942,7.02676825
-0.002340072,-0.996582902,7.08544578
-0.002339442,-1.000267942,7.140455963
-0.002338812,-1.003952983,7.210135529
-0.002338182,-1.003952983,7.279815095
-0.002337552,-0.996582902,7.34215997
-0.002336922,-1.007638023,7.4008375
-0.002336292,-1.000267942,7.46684972
-0.002335662,-1.000267942,7.525527249
-0.002335032,-0.985527781,7.587872124
-0.002334402,-0.981842741,7.650216999
-0.002333772,-0.989212822,7.705227183
-0.002333142,-0.996582902,7.774906749
-0.002332512,-0.989212822,7.837251624
-0.002331882,-0.985527781,7.892261807
-0.002331252,-0.992897862,7.961941373
-0.002330622,-0.992897862,8.024286248
-0.002329992,-0.992897862,8.079296432
-0.002329362,-0.996582902,8.145308652
-0.002328732,-0.985527781,8.211320873
-0.002328102,-0.989212822,8.281000439
-0.002327472,-0.992897862,8.343345314
-0.002326842,-0.985527781,8.398355497
-0.002326212,-1.000267942,8.457033027
-0.002325582,-0.992897862,8.523045247
-0.002324952,-0.992897862,8.57072074
-0.002324322,-1.000267942,8.647734997
-0.002323692,-1.000267942,8.706412526
-0.002323062,-0.992897862,8.765090056
-0.002322432,-1.003952983,8.831102276
-0.002321802,-0.996582902,8.889779805
-0.002321172,-0.996582902,8.95212468
-0.002320542,-0.989212822,9.014469555
-0.002319912,-1.000267942,9.07681443
-0.002319282,-0.992897862,9.135491959
-0.002318652,-0.989212822,9.197836834
-0.002318022,-0.985527781,9.230842944
-0.002317392,-0.989212822,9.223508253
-0.002316762,-0.985527781,9.249179672
-0.002316132,-0.996582902,9.263849055
-0.002315502,-0.992897862,9.2675164
-0.002314872,-0.985527781,9.263849055
-0.002314242,-0.985527781,9.271183746
-0.002313612,-1.003952983,9.2675164
-0.002312982,-0.996582902,9.2675164
-0.002312352,-0.981842741,9.274851091
-0.002311722,-0.989212822,9.274851091
-0.002311092,-0.981842741,9.2675164
-0.002310462,-0.985527781,9.260181709
-0.002309832,-0.996582902,9.2675164
-0.002309202,-0.992897862,9.278518437
-0.002308572,-0.985527781,9.271183746
-0.002307942,-0.985527781,9.271183746
-0.002307312,-0.985527781,9.2675164
-0.002306682,-0.989212822,9.260181709
-0.002306052,-0.992897862,9.274851091
-0.002305422,-0.989212822,9.274851091
-0.002304792,-0.989212822,9.282185782
-0.002304162,-0.996582902,9.278518437
-0.002303532,-0.985527781,9.2675164
-0.002302902,-0.981842741,9.278518437
-0.002302272,-0.985527781,9.274851091
-0.002301642,-0.989212822,9.282185782
-0.002301012,-1.000267942,9.274851091
-0.002300382,-0.992897862,9.274851091
-0.002299752,-0.985527781,9.263849055
-0.002299122,-0.981842741,9.274851091
-0.002298492,-0.985527781,9.278518437
-0.002297862,-0.992897862,9.278518437
-0.002297232,-0.985527781,9.278518437
-0.002296602,-1.000267942,9.271183746
-0.002295972,-0.992897862,9.278518437
-0.002295342,-0.992897862,9.271183746
-0.002294712,-0.992897862,9.278518437
-0.002294082,-0.996582902,9.274851091
-0.002293452,-0.996582902,9.271183746
-0.002292822,-0.992897862,9.282185782
-0.002292192,-0.989212822,9.274851091
-0.002291562,-0.996582902,9.274851091
-0.002290932,-0.992897862,9.2675164
-0.002290302,-0.985527781,9.274851091
-0.002289672,-0.989212822,9.271183746
-0.002289042,-0.989212822,9.271183746
-0.002288412,-0.989212822,9.282185782
-0.002287782,-0.985527781,9.263849055
-0.002287152,-0.992897862,9.271183746
-0.002286522,-0.992897862,9.271183746
-0.002285892,-0.978157701,9.271183746
-0.002285262,-0.97447266,9.274851091
-0.002284632,-0.985527781,9.271183746
-0.002284002,-0.989212822,9.271183746
-0.002283372,-0.981842741,9.2675164
-0.002282742,-0.981842741,9.274851091
-0.002282112,-0.992897862,9.278518437
-0.002281482,-0.978157701,9.256514363
-0.002280852,-0.989212822,9.2675164
-0.002280222,-1.000267942,9.271183746
-0.002279592,-1.003952983,9.2675164
-0.002278962,-1.003952983,9.263849055
-0.002278332,-1.000267942,9.2675164
-0.002277702,-0.996582902,9.263849055
-0.002277072,-0.996582902,9.2675164
-0.002276442,-0.992897862,9.2675164
-0.002275812,-0.978157701,9.260181709
-0.002275182,-0.981842741,9.2675164
-0.002274552,-0.985527781,9.271183746
-0.002273922,-0.992897862,9.263849055
-0.002273292,-1.000267942,9.263849055
-0.002272662,-0.992897862,9.263849055
-0.002272032,-1.000267942,9.263849055
-0.002271402,-0.992897862,9.260181709
-0.002270772,-0.996582902,9.2675164
-0.002270142,-1.000267942,9.256514363
-0.002269512,-0.985527781,9.249179672
-0.002268882,-0.996582902,9.260181709
-0.002268252,-0.996582902,9.271183746
-0.002267622,-0.985527781,9.274851091
-0.002266992,-0.989212822,9.271183746
-0.002266362,-0.992897862,9.260181709
-0.002265732,-0.992897862,9.260181709
-0.002265102,-0.992897862,9.263849055
-0.002264472,-1.000267942,9.252847018
-0.002263842,-1.003952983,9.260181709
-0.002263212,-0.992897862,9.260181709
-0.002262582,-0.992897862,9.263849055
-0.002261952,-0.992897862,9.252847018
-0.002261322,-0.989212822,9.252847018
-0.002260692,-0.989212822,9.256514363
-0.002260062,-0.985527781,9.263849055
-0.002259432,-0.985527781,9.256514363
-0.002258802,-0.992897862,9.249179672
-0.002258172,-0.981842741,9.249179672
-0.002257542,-0.985527781,9.2675164
-0.002256912,-0.985527781,9.256514363
-0.002256282,-0.985527781,9.245512327
-0.002255652,-0.996582902,9.252847018
-0.002255022,-0.996582902,9.256514363
-0.002254392,-0.989212822,9.241844981
-0.002253762,-0.985527781,9.256514363
-0.002253132,-0.996582902,9.245512327
-0.002252502,-0.985527781,9.256514363
-0.002251872,-0.985527781,9.252847018
-0.002251242,-0.996582902,9.263849055
-0.002250612,-1.000267942,9.256514363
-0.002249982,-0.996582902,9.252847018
-0.002249352,-0.989212822,9.245512327
-0.002248722,-0.985527781,9.249179672
-0.002248092,-0.989212822,9.249179672
-0.002247462,-0.996582902,9.245512327
-0.002246832,-0.996582902,9.252847018
-0.002246202,-0.989212822,9.260181709
-0.002245572,-0.989212822,9.245512327
-0.002244942,-0.989212822,9.249179672
-0.002244312,-0.981842741,9.256514363
-0.002243682,-0.989212822,9.260181709
-0.002243052,-0.989212822,9.241844981
-0.002242422,-1.007638023,9.245512327
-0.002241792,-1.000267942,9.252847018
-0.002241162,-0.992897862,9.245512327
-0.002240532,-0.985527781,9.256514363
-0.002239902,-0.992897862,9.249179672
-0.002239272,-0.992897862,9.252847018
-0.002238642,-0.981842741,9.256514363
-0.002238012,-0.985527781,9.241844981
-0.002237382,-0.981842741,9.252847018
-0.002236752,-0.985527781,9.238177635
-0.002236122,-0.985527781,9.245512327
-0.002235492,-0.97078762,9.249179672
-0.002234862,-0.992897862,9.241844981
-0.002234232,-0.996582902,9.241844981
-0.002233602,-0.992897862,9.241844981
-0.002232972,-0.989212822,9.241844981
