#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0E736,,
#Date Time: 2023-10-25 13:57:22.787,,
#Sample rate: 800000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Square,,
#Frequency: 500 Hz,,
#Period: 2 ms,,
#Amplitude: 1 V,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 ¡,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 3.3 V,,
#Negative Supply: ON,,
#Voltage: -3.3 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-0.004894396,-1.000267942,1.584427408
-0.004893146,-0.996582902,1.705449813
-0.004891896,-1.000267942,1.826472217
-0.004890646,-0.992897862,1.954829312
-0.004889396,-0.985527781,2.090521099
-0.004888146,-0.985527781,2.218878194
-0.004886896,-0.985527781,2.343567944
-0.004885646,-0.996582902,2.460923002
-0.004884396,-0.996582902,2.589280098
-0.004883146,-1.000267942,2.710302502
-0.004881896,-0.978157701,2.834992251
-0.004880646,-0.992897862,2.967016692
-0.004879396,-0.985527781,3.095373788
-0.004878146,-0.989212822,3.220063537
-0.004876896,-1.000267942,3.344753287
-0.004875646,-0.992897862,3.465775691
-0.004874396,-0.989212822,3.58313075
-0.004873146,-0.996582902,3.722489882
-0.004871896,-0.989212822,3.836177595
-0.004870646,-0.996582902,3.968202036
-0.004869396,-0.992897862,4.092891786
-0.004868146,-0.985527781,4.228583572
-0.004866896,-0.996582902,4.342271285
-0.004865646,-0.996582902,4.47062838
-0.004864396,-0.996582902,4.59531813
-0.004863146,-0.996582902,4.723675226
-0.004861896,-0.996582902,4.84469763
-0.004860646,-1.003952983,4.965720034
-0.004859396,-0.992897862,5.090409784
-0.004858146,-0.989212822,5.215099533
-0.004856896,-0.992897862,5.343456629
-0.004855646,-0.992897862,5.464479033
-0.004854396,-0.992897862,5.589168783
-0.004853146,-0.985527781,5.721193224
-0.004851896,-0.985527781,5.845882973
-0.004850646,-0.985527781,5.963238032
-0.004849396,-0.989212822,6.073258399
-0.004848146,-0.981842741,6.212617531
-0.004846896,-1.007638023,6.337307281
-0.004845646,-1.000267942,6.458329685
-0.004844396,-0.989212822,6.579352089
-0.004843146,-1.003952983,6.707709185
-0.004841896,-0.989212822,6.828731589
-0.004840646,-0.992897862,6.946086647
-0.004839396,-0.996582902,7.074443743
-0.004838146,-0.992897862,7.195466147
-0.004836896,-0.992897862,7.327490588
-0.004835646,-0.996582902,7.448512992
-0.004834396,-0.989212822,7.569535396
-0.004833146,-0.981842741,7.6905578
-0.004831896,-0.996582902,7.81524755
-0.004830646,-0.989212822,7.9399373
-0.004829396,-0.992897862,8.068294395
-0.004828146,-0.985527781,8.178314763
