#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0E736,,
#Date Time: 2023-10-25 15:18:48.902,,
#Sample rate: 800000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Enabled,,
#Mode: Simple,,freq
#Type: Sine,,973hz
#Frequency: 10 kHz,,
#Period: 100 us,,
#Amplitude: 100 mV,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 ¡,,
#Wavegen Channel 2: Enabled,,
#Mode: Simple,,
#Type: DC,,
#Offset: 100 mV,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 3.3 V,,
#Negative Supply: ON,,
#Voltage: -3.3 V,,
,,
Time (s),Channel 1 (V),
-0.004759239,9.030411722,
-0.004757989,9.034096763,
-0.004756739,9.034096763,
-0.004755489,9.037781803,
-0.004754239,9.034096763,
-0.004752989,9.034096763,
-0.004751739,9.034096763,
-0.004750489,9.034096763,
-0.004749239,9.026726682,
-0.004747989,9.037781803,
-0.004746739,9.037781803,
-0.004745489,9.041466843,
-0.004744239,9.048836924,
-0.004742989,9.026726682,
-0.004741739,9.034096763,
-0.004740489,9.034096763,
-0.004739239,9.034096763,
-0.004737989,9.041466843,
-0.004736739,9.030411722,
-0.004735489,9.041466843,
-0.004734239,9.037781803,
-0.004732989,9.041466843,
-0.004731739,9.034096763,
-0.004730489,9.041466843,
-0.004729239,9.041466843,
-0.004727989,9.041466843,
-0.004726739,9.041466843,
-0.004725489,9.045151884,
-0.004724239,9.037781803,
-0.004722989,9.034096763,
-0.004721739,9.034096763,
-0.004720489,9.045151884,
-0.004719239,9.041466843,
-0.004717989,9.048836924,
-0.004716739,9.052521964,
-0.004715489,9.037781803,
-0.004714239,9.045151884,
-0.004712989,9.037781803,
-0.004711739,9.045151884,
-0.004710489,9.045151884,
-0.004709239,9.037781803,
-0.004707989,9.048836924,
-0.004706739,9.052521964,
-0.004705489,9.045151884,
-0.004704239,9.045151884,
-0.004702989,9.048836924,
-0.004701739,9.048836924,
-0.004700489,9.045151884,
-0.004699239,9.045151884,
-0.004697989,9.037781803,
-0.004696739,9.034096763,
-0.004695489,8.857214829,
-0.004694239,8.794569144,
-0.004692989,8.713498258,
-0.004691739,8.650852573,
-0.004690489,8.602947049,
-0.004689239,8.540301364,
-0.004687989,8.48134072,
-0.004686739,8.418695035,
-0.004685489,8.337624148,
-0.004684239,8.263923343,
-0.004682989,8.190222537,
-0.004681739,8.112836691,
-0.004680489,8.024395724,
-0.004679239,7.932269717,
-0.004677989,7.84751379,
-0.004676739,7.744332662,
-0.004675489,7.655891695,
-0.004674239,7.545340486,
-0.004672989,7.431104237,
-0.004671739,7.33529319,
-0.004670489,7.221056941,
-0.004669239,7.088395491,
-0.004667989,6.966789161,
-0.004666739,6.837812751,
-0.004665489,6.708836341,
-0.004664239,6.57248985,
-0.004662989,6.417718158,
-0.004661739,6.277686627,
-0.004660489,6.115544854,
-0.004659239,5.968143243,
-0.004657989,5.79863139,
-0.004656739,5.621749456,
-0.004655489,5.452237603,
-0.004654239,5.267985588,
-0.004652989,5.083733574,
-0.004651739,4.884741398,
-0.004650489,4.682064182,
-0.004649239,4.472016886,
-0.004647989,4.254599509,
-0.004646739,4.037182132,
-0.004645489,3.819764755,
-0.004644239,3.576552096,
-0.004642989,3.340709517,
-0.004641739,3.082756697,
-0.004640489,2.835858998,
-0.004639239,2.552110896,
-0.004637989,2.294158075,
-0.004636739,2.010409973,
-0.004635489,1.71929179,
-0.004634239,1.420803527,
-0.004632989,1.107575103,
-0.004631739,0.786976597,
-0.004630489,0.462693052,
-0.004629239,0.119984305,
-0.004627989,-0.230094522,
-0.004626739,-0.58385839,
-0.004625489,-0.941307298,
-0.004624239,-1.317181407,
-0.004622989,-1.722535839,
-0.004621739,-2.098409948,
-0.004620489,-2.514819501,
-0.004619239,-2.942284174,
-0.004617989,-3.380803969,
-0.004616739,-3.826693844,
-0.004615489,-4.276268759,
-0.004614239,-4.755323996,
-0.004612989,-5.234379234,
-0.004611739,-5.713434471,
-0.004610489,-6.236710192,
-0.004609239,-6.756300873,
-0.004607989,-7.286946674,
-0.004606739,-7.847072798,
-0.004605489,-8.230316988,
-0.004604239,-8.289277633,
-0.004602989,-8.315072915,
-0.004601739,-8.337183156,
-0.004600489,-8.351923318,
-0.004599239,-8.366663479,
-0.004597989,-8.392458761,
-0.004596739,-8.392458761,
-0.004595489,-8.403513882,
-0.004594239,-8.418254043,
-0.004592989,-8.429309164,
-0.004591739,-8.429309164,
-0.004590489,-8.444049325,
-0.004589239,-8.444049325,
-0.004587989,-8.451419405,
-0.004586739,-8.455104446,
-0.004585489,-8.462474526,
-0.004584239,-8.458789486,
-0.004582989,-8.462474526,
-0.004581739,-8.469844607,
-0.004580489,-8.466159567,
-0.004579239,-8.466159567,
-0.004577989,-8.477214687,
-0.004576739,-8.473529647,
-0.004575489,-8.480899728,
-0.004574239,-8.484584768,
-0.004572989,-8.488269808,
-0.004571739,-8.480899728,
-0.004570489,-8.480899728,
-0.004569239,-8.488269808,
-0.004567989,-8.477214687,
-0.004566739,-8.491954849,
-0.004565489,-8.499324929,
-0.004564239,-8.503009969,
-0.004562989,-8.503009969,
-0.004561739,-8.499324929,
-0.004560489,-8.499324929,
-0.004559239,-8.499324929,
-0.004557989,-8.50669501,
-0.004556739,-8.51038005,
-0.004555489,-8.503009969,
-0.004554239,-8.495639889,
-0.004552989,-8.499324929,
-0.004551739,-8.50669501,
-0.004550489,-8.51406509,
-0.004549239,-8.50669501,
-0.004547989,-8.51406509,
-0.004546739,-8.517750131,
-0.004545489,-8.517750131,
-0.004544239,-8.51406509,
-0.004542989,-8.517750131,
-0.004541739,-8.521435171,
-0.004540489,-8.499324929,
-0.004539239,-8.51038005,
-0.004537989,-8.51406509,
-0.004536739,-8.51406509,
-0.004535489,-8.525120211,
-0.004534239,-8.532490292,
-0.004532989,-8.521435171,
-0.004531739,-8.525120211,
-0.004530489,-8.536175332,
-0.004529239,-8.525120211,
-0.004527989,-8.525120211,
-0.004526739,-8.525120211,
-0.004525489,-8.525120211,
-0.004524239,-8.528805251,
-0.004522989,-8.525120211,
-0.004521739,-8.528805251,
-0.004520489,-8.525120211,
-0.004519239,-8.528805251,
-0.004517989,-8.543545413,
-0.004516739,-8.521435171,
-0.004515489,-8.528805251,
-0.004514239,-8.543545413,
-0.004512989,-8.536175332,
-0.004511739,-8.539860372,
-0.004510489,-8.539860372,
-0.004509239,-8.532490292,
-0.004507989,-8.528805251,
-0.004506739,-8.539860372,
-0.004505489,-8.536175332,
-0.004504239,-8.536175332,
-0.004502989,-8.539860372,
-0.004501739,-8.543545413,
-0.004500489,-8.550915493,
-0.004499239,-8.543545413,
-0.004497989,-8.543545413,
-0.004496739,-8.539860372,
-0.004495489,-8.539860372,
-0.004494239,-8.543545413,
-0.004492989,-8.550915493,
-0.004491739,-8.543545413,
-0.004490489,-8.550915493,
-0.004489239,-8.550915493,
-0.004487989,-8.539860372,
-0.004486739,-8.550915493,
-0.004485489,-8.547230453,
-0.004484239,-8.554600533,
-0.004482989,-8.554600533,
-0.004481739,-8.558285574,
-0.004480489,-8.550915493,
-0.004479239,-8.550915493,
-0.004477989,-8.554600533,
-0.004476739,-8.554600533,
-0.004475489,-8.550915493,
-0.004474239,-8.558285574,
-0.004472989,-8.554600533,
-0.004471739,-8.550915493,
-0.004470489,-8.558285574,
-0.004469239,-8.561970614,
-0.004467989,-8.561970614,
-0.004466739,-8.565655654,
-0.004465489,-8.554600533,
-0.004464239,-8.554600533,
-0.004462989,-8.554600533,
-0.004461739,-8.558285574,
-0.004460489,-8.565655654,
-0.004459239,-8.558285574,
-0.004457989,-8.569340695,
-0.004456739,-8.561970614,
-0.004455489,-8.565655654,
-0.004454239,-8.569340695,
-0.004452989,-8.558285574,
-0.004451739,-8.561970614,
-0.004450489,-8.573025735,
-0.004449239,-8.569340695,
-0.004447989,-8.565655654,
-0.004446739,-8.569340695,
-0.004445489,-8.565655654,
-0.004444239,-8.569340695,
-0.004442989,-8.569340695,
-0.004441739,-8.573025735,
-0.004440489,-8.576710775,
-0.004439239,-8.569340695,
-0.004437989,-8.580395815,
-0.004436739,-8.576710775,
-0.004435489,-8.576710775,
-0.004434239,-8.573025735,
-0.004432989,-8.573025735,
-0.004431739,-8.569340695,
-0.004430489,-8.576710775,
-0.004429239,-8.580395815,
-0.004427989,-8.580395815,
-0.004426739,-8.573025735,
-0.004425489,-8.573025735,
-0.004424239,-8.573025735,
-0.004422989,-8.584080856,
-0.004421739,-8.587765896,
-0.004420489,-8.587765896,
-0.004419239,-8.576710775,
-0.004417989,-8.573025735,
-0.004416739,-8.584080856,
-0.004415489,-8.576710775,
-0.004414239,-8.584080856,
-0.004412989,-8.584080856,
-0.004411739,-8.576710775,
-0.004410489,-8.580395815,
-0.004409239,-8.591450936,
-0.004407989,-8.584080856,
-0.004406739,-8.587765896,
-0.004405489,-8.580395815,
-0.004404239,-8.587765896,
-0.004402989,-8.598821017,
-0.004401739,-8.584080856,
-0.004400489,-8.587765896,
-0.004399239,-8.587765896,
-0.004397989,-8.598821017,
-0.004396739,-8.598821017,
-0.004395489,-8.602506057,
-0.004394239,-8.602506057,
-0.004392989,-8.598821017,
