  Time                 , V(Ri:1)              , V(R4:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,-1.554461423995e-04  
  7.352941176471e-08  ,7.853900888711e-04  ,-1.551690199317e-03  
  7.895119926509e-08  ,8.433005302305e-04  ,-1.662209615815e-03  
  8.979477426585e-08  ,9.591205450382e-04  ,-1.901422592324e-03  
  1.114819242674e-07  ,1.190756559193e-03  ,-2.491132666270e-03  
  1.548562242704e-07  ,1.654008175229e-03  ,-4.167032094648e-03  
  2.416048242765e-07  ,2.580394956960e-03  ,-9.579160437472e-03  
  4.058036997038e-07  ,4.333200538846e-03  ,-2.638100805492e-02  
  6.936226083952e-07  ,7.402094757973e-03  ,-6.974920084825e-02  
  1.217666645260e-06  ,1.296976300464e-02  ,-1.695681019353e-01  
  1.761261005612e-06  ,1.870198579381e-02  ,-2.827280618555e-01  
  2.600685138913e-06  ,2.742310170393e-02  ,-4.582793664968e-01  
  3.732696552487e-06  ,3.882250672933e-02  ,-6.895113253953e-01  
  5.996719379635e-06  ,5.976240639156e-02  ,-1.118169290492e+00  
  1.052476503393e-05  ,9.019197008304e-02  ,-1.758752728155e+00  
  1.787797548315e-05  ,9.431460507246e-02  ,-1.914147229301e+00  
  2.523118593237e-05  ,4.318518716235e-02  ,-9.508090270288e-01  
  3.258439638159e-05  ,-3.324328431149e-02  ,5.715259970451e-01  
  3.993760683081e-05  ,-9.019693847659e-02  ,1.757272951906e+00  
  4.729081728003e-05  ,-9.431078048051e-02  ,1.908194064215e+00  
  5.464402772924e-05  ,-4.317481013455e-02  ,9.547955369991e-01  
  6.199723817846e-05  ,3.325413463089e-02  ,-5.757129170607e-01  
  6.879579164526e-05  ,8.748755029598e-02  ,-1.696478630112e+00  
  7.614900209448e-05  ,9.611081177137e-02  ,-1.947062930515e+00  
  8.350221254370e-05  ,4.842975376061e-02  ,-1.055590522436e+00  
  9.085542299292e-05  ,-2.762276712843e-02  ,4.598387444117e-01  
  9.820863344214e-05  ,-8.749312206937e-02  ,1.696372154169e+00  
  1.055618438914e-04  ,-9.610763381181e-02  ,1.946644238113e+00  
  1.129150543406e-04  ,-4.841968780299e-02  ,1.050263831722e+00  
  1.201179657175e-04  ,2.608743650832e-02  ,-4.255657832023e-01  
  1.273712310984e-04  ,8.617348585468e-02  ,-1.657670093997e+00  
  1.347244415476e-04  ,9.680882592553e-02  ,-1.948302347160e+00  
  1.420776519968e-04  ,5.073093089277e-02  ,-1.103659673874e+00  
  1.494308624460e-04  ,-2.506651897645e-02  ,4.109253184634e-01  
  1.560691986277e-04  ,-8.205859791578e-02  ,1.578631100629e+00  
  1.634224090769e-04  ,-9.843647023290e-02  ,1.983934863690e+00  
  1.707756195261e-04  ,-5.714758927916e-02  ,1.218641415931e+00  
  1.775367889597e-04  ,1.136393043546e-02  ,-1.295879994404e-01  
  1.848899994089e-04  ,7.828992120754e-02  ,-1.489058510977e+00  
  1.922432098582e-04  ,9.935155338175e-02  ,-1.984080503628e+00  
  1.995964203074e-04  ,6.221035176493e-02  ,-1.326319823676e+00  
  2.057785186960e-04  ,1.109073927698e-03  ,-1.274281370956e-01  
  2.131317291453e-04  ,-6.992415161672e-02  ,1.331361316692e+00  
  2.204849395945e-04  ,-9.999391321921e-02  ,1.989492253766e+00  
  2.272339019968e-04  ,-7.584588334077e-02  ,1.580623708404e+00  
  2.345871124460e-04  ,-7.544640029863e-03  ,2.563032338260e-01  
  2.419403228953e-04  ,6.517645797606e-02  ,-1.233481725397e+00  
  2.492935333445e-04  ,9.971541970383e-02  ,-1.977268818998e+00  
  2.559509430124e-04  ,8.046889765029e-02  ,-1.668107355532e+00  
  2.623352203562e-04  ,2.505228080510e-02  ,-5.998824945037e-01  
  2.696777496531e-04  ,-5.064526170227e-02  ,9.303839711310e-01  
  2.764160309031e-04  ,-9.492395827225e-02  ,1.861128573406e+00  
  2.837692413523e-04  ,-8.936240989596e-02  ,1.829008238929e+00  
  2.911224518015e-04  ,-3.144993882844e-02  ,7.187847423598e-01  
  2.984359893992e-04  ,4.450768408101e-02  ,-7.887131535535e-01  
  3.052513275339e-04  ,9.280842338720e-02  ,-1.826433714357e+00  
  3.103904876902e-04  ,9.860257548072e-02  ,-1.982085535097e+00  
  3.152656707957e-04  ,7.724465123932e-02  ,-1.603555094255e+00  
  3.225586090281e-04  ,1.035097339839e-02  ,-3.041070572144e-01  
  3.291305694773e-04  ,-5.632244590008e-02  ,1.044915507870e+00  
  3.364837799265e-04  ,-9.825503068829e-02  ,1.941002117155e+00  
  3.438369903757e-04  ,-8.262715441043e-02  ,1.705125758108e+00  
  3.511902008249e-04  ,-1.859405072462e-02  ,4.660075363245e-01  
