  Time                 , V(R5:1)              , V(V1:+)              
0.00E+00,-1.62E-05,0.00E+00
1.20E-06,-2.17E-03,3.77E-04
1.34E-06,-2.44E-03,4.20E-04
1.62E-06,-3.01E-03,5.07E-04
2.17E-06,-4.10E-03,6.81E-04
3.28E-06,-4.71E-03,1.03E-03
4.37E-06,-3.15E-03,1.37E-03
5.14E-06,-2.06E-03,1.62E-03
6.06E-06,-1.80E-03,1.91E-03
7.07E-06,-2.86E-03,2.22E-03
8.17E-06,-4.09E-03,2.57E-03
9.54E-06,-4.10E-03,3.00E-03
1.11E-05,-2.28E-03,3.48E-03
1.20E-05,-2.05E-03,3.78E-03
1.32E-05,-2.82E-03,4.15E-03
1.46E-05,-3.72E-03,4.58E-03
1.62E-05,-3.62E-03,5.09E-03
1.82E-05,-2.44E-03,5.73E-03
1.99E-05,-2.76E-03,6.24E-03
2.16E-05,-3.60E-03,6.78E-03
2.35E-05,-3.49E-03,7.38E-03
2.57E-05,-2.79E-03,8.06E-03
2.80E-05,-2.94E-03,8.77E-03
3.04E-05,-3.42E-03,9.54E-03
3.37E-05,-3.21E-03,1.06E-02
3.66E-05,-3.06E-03,1.15E-02
4.15E-05,-3.17E-03,1.30E-02
4.61E-05,-3.15E-03,1.44E-02
5.17E-05,-3.11E-03,1.62E-02
6.27E-05,-3.10E-03,1.96E-02
8.48E-05,-3.04E-03,2.63E-02
1.05E-04,-2.99E-03,3.25E-02
1.46E-04,-2.84E-03,4.44E-02
2.28E-04,-2.41E-03,6.57E-02
3.48E-04,-1.48E-03,8.88E-02
4.68E-04,-3.85E-04,9.95E-02
5.88E-04,9.04E-04,9.62E-02
7.08E-04,1.87E-03,7.94E-02
8.28E-04,2.76E-03,5.14E-02
9.48E-04,3.07E-03,1.62E-02
1.07E-03,3.14E-03,-2.13E-02
1.19E-03,2.73E-03,-5.57E-02
1.31E-03,1.88E-03,-8.24E-02
1.43E-03,7.59E-04,-9.75E-02
1.55E-03,-5.58E-04,-9.89E-02
1.67E-03,-1.56E-03,-8.64E-02
1.79E-03,-2.58E-03,-6.17E-02
1.91E-03,-3.00E-03,-2.84E-02
2.03E-03,-3.25E-03,8.84E-03
2.15E-03,-2.97E-03,4.49E-02
2.27E-03,-2.23E-03,7.46E-02
2.39E-03,-1.01E-03,9.39E-02
2.51E-03,-3.46E-05,1.00E-01
2.63E-03,1.33E-03,9.20E-02
2.75E-03,2.12E-03,7.11E-02
2.87E-03,2.99E-03,4.03E-02
2.99E-03,3.26E-03,3.73E-03
3.11E-03,2.88E-03,-3.33E-02
3.23E-03,2.48E-03,-6.57E-02
3.35E-03,1.34E-03,-8.88E-02
3.47E-03,4.03E-04,-9.95E-02
3.59E-03,-9.85E-04,-9.62E-02
3.71E-03,-1.98E-03,-7.94E-02
3.83E-03,-2.71E-03,-5.14E-02
3.95E-03,-3.18E-03,-1.62E-02
4.07E-03,-3.23E-03,2.12E-02
4.19E-03,-2.55E-03,5.57E-02
4.31E-03,-1.93E-03,8.24E-02
4.43E-03,-6.20E-04,9.75E-02
4.55E-03,3.53E-04,9.89E-02
4.67E-03,1.69E-03,8.64E-02
4.79E-03,2.54E-03,6.18E-02
4.91E-03,2.97E-03,2.85E-02
5.03E-03,3.21E-03,-8.80E-03
5.15E-03,2.77E-03,-4.49E-02
5.27E-03,2.16E-03,-7.46E-02
5.39E-03,1.02E-03,-9.39E-02
5.51E-03,-4.05E-05,-1.00E-01
5.63E-03,-1.32E-03,-9.20E-02
5.75E-03,-2.20E-03,-7.11E-02
5.87E-03,-2.98E-03,-4.03E-02
5.99E-03,-3.30E-03,-3.76E-03
6.00E-03,-3.03E-03,-7.35E-17
