  Time                 , V(R5:1)              , V(V1:+)              
  0.000000000000e+00  ,-1.623169393696e-05  ,0.000000000000e+00  
  2.500000000000e-07  ,-2.584032125353e-03  ,7.853900888711e-04  
  2.658250331879e-07  ,-2.756731694570e-03  ,8.351042644155e-04  
  2.974750995636e-07  ,-3.125614155260e-03  ,9.345319839880e-04  
  3.607752323151e-07  ,-4.001241236450e-03  ,1.133384553017e-03  
  4.873754978180e-07  ,-6.306104072663e-03  ,1.531075458258e-03  
  7.405760288239e-07  ,-1.288053385731e-02  ,2.326378319733e-03  
  1.246977090836e-06  ,-3.064782941020e-02  ,3.916492130643e-03  
  2.076292276382e-06  ,-5.598350293764e-02  ,6.518239991297e-03  
  2.705621957779e-06  ,-5.985216897898e-02  ,8.489730483145e-03  
  3.506994485855e-06  ,-4.453400056299e-02  ,1.099527196847e-02  
  4.280615091324e-06  ,-1.829464033493e-02  ,1.340745179908e-02  
  4.870271921158e-06  ,-5.818213432153e-03  ,1.524078257185e-02  
  5.389070749283e-06  ,-4.453202326814e-03  ,1.684950111945e-02  
  5.951643228531e-06  ,-1.391119721243e-02  ,1.858888348790e-02  
  6.612158060074e-06  ,-3.275802334544e-02  ,2.062363692986e-02  
  7.341718912125e-06  ,-5.253816337572e-02  ,2.286073425180e-02  
  7.968855142593e-06  ,-5.609824451740e-02  ,2.477420633566e-02  
  8.692407846451e-06  ,-4.524059244156e-02  ,2.696986258044e-02  
  9.379148721695e-06  ,-2.526050247701e-02  ,2.904093985029e-02  
  1.000618958473e-05  ,-1.101367867039e-02  ,3.092019229351e-02  
  1.065831208229e-05  ,-6.899702975266e-03  ,3.286187677725e-02  
  1.133723282814e-05  ,-1.571447521513e-02  ,3.486868676005e-02  
  1.201243424416e-05  ,-3.173496003238e-02  ,3.684877262464e-02  
  1.275992417336e-05  ,-4.810791831019e-02  ,3.902147673664e-02  
  1.340174698830e-05  ,-5.005418269851e-02  ,4.086991656069e-02  
  1.412329697609e-05  ,-3.990125862688e-02  ,4.292809260286e-02  
  1.486325287819e-05  ,-2.161982158394e-02  ,4.501585246400e-02  
  1.551699662209e-05  ,-1.044473806810e-02  ,4.684016471189e-02  
