  Time                 , V(C1:1)              , V(U1A:OUT)           
  0.000000000000e+00  ,-1.000000000000e+00  ,-1.623169393697e-05  
  1.200000000000e-14  ,-1.000000000000e+00  ,-1.623169393890e-05  
  2.400000000000e-14  ,-1.000000000000e+00  ,-1.623169393890e-05  
  4.799929144303e-14  ,-1.000000000000e+00  ,-1.623169393928e-05  
  9.599787432910e-14  ,-1.000000000000e+00  ,-1.623169393918e-05  
  1.919950401012e-13  ,-1.000000000000e+00  ,-1.623169393867e-05  
  3.839893716455e-13  ,-1.000000000000e+00  ,-1.623169393718e-05  
  7.679780347340e-13  ,-1.000000000000e+00  ,-1.623169393802e-05  
  1.012000000000e-12  ,-9.999999995200e-01  ,-1.623169393861e-05  
  1.088797732618e-12  ,-9.999999964481e-01  ,-1.623169393308e-05  
  1.242388650380e-12  ,-9.999999903045e-01  ,-1.623169392614e-05  
  1.549570485903e-12  ,-9.999999780172e-01  ,-1.623169388830e-05  
  2.163934156951e-12  ,-9.999999534426e-01  ,-1.623169358844e-05  
  3.392661499046e-12  ,-9.999999042935e-01  ,-1.623169235751e-05  
  5.850116183237e-12  ,-9.999998059954e-01  ,-1.623168738472e-05  
  1.076502555162e-11  ,-9.999996093990e-01  ,-1.623166748662e-05  
  2.059484428838e-11  ,-9.999992162062e-01  ,-1.623158889090e-05  
  4.025448176190e-11  ,-9.999984298207e-01  ,-1.623128457499e-05  
  7.957375670895e-11  ,-9.999968570497e-01  ,-1.623014346708e-05  
  1.582123066030e-10  ,-9.999937115077e-01  ,-1.622611360395e-05  
  3.154894063912e-10  ,-9.999874204237e-01  ,-1.621326048135e-05  
  6.300436059676e-10  ,-9.999748382558e-01  ,-1.617813633546e-05  
  1.259152005120e-09  ,-9.999496739198e-01  ,-1.609910859017e-05  
  2.517368803426e-09  ,-9.998993452479e-01  ,-1.595796041981e-05  
  5.033802400037e-09  ,-9.997986879040e-01  ,-1.585517376262e-05  
  1.006666959326e-08  ,-9.995973732163e-01  ,-1.708560446076e-05  
  2.013240397970e-08  ,-9.991947438408e-01  ,-3.050058618780e-05  
  4.026387275259e-08  ,-9.983894850899e-01  ,-1.352813303122e-04  
  8.052681029837e-08  ,-9.967789675881e-01  ,-8.443800272213e-04  
  1.265535169939e-07  ,-9.949378993202e-01  ,-2.722667334915e-03  
  2.186069303850e-07  ,-9.912557627846e-01  ,-1.055695457356e-02  
  3.664979750017e-07  ,-9.853401209999e-01  ,-3.490306448242e-02  
  6.622800642351e-07  ,-9.735088374306e-01  ,-1.228046730629e-01  
  1.239253025661e-06  ,-9.504299189736e-01  ,-3.849183909207e-01  
  2.027464848171e-06  ,-9.189014460732e-01  ,-7.174361074486e-01  
  2.706290226589e-06  ,-8.917484309365e-01  ,-7.825422157378e-01  
  3.459406834255e-06  ,-8.616237666298e-01  ,-5.967317101827e-01  
  4.165030460964e-06  ,-8.333988215615e-01  ,-3.115952962730e-01  
  4.929495792995e-06  ,-8.028202082802e-01  ,-5.636857743775e-02  
  5.355549793849e-06  ,-7.857780482460e-01  ,-3.661501152219e-02  
  5.746079426418e-06  ,-7.701568629433e-01  ,-1.030295001515e-01  
  6.346226673732e-06  ,-7.461509730507e-01  ,-3.168259861365e-01  
  6.990624409328e-06  ,-7.203750636269e-01  ,-5.976020705018e-01  
  7.817650776515e-06  ,-6.872940089394e-01  ,-7.506129569197e-01  
  8.480072956691e-06  ,-6.607971217324e-01  ,-6.687236485451e-01  
  9.170151692043e-06  ,-6.331939723183e-01  ,-4.270785189955e-01  
  9.960843067775e-06  ,-6.015663172890e-01  ,-1.738785410965e-01  
  1.066055391372e-05  ,-5.735778834511e-01  ,-9.688179598250e-02  
  1.137695406021e-05  ,-5.449218775917e-01  ,-2.019571619963e-01  
  1.206913087905e-05  ,-5.172348048378e-01  ,-4.166942886114e-01  
  1.281423662246e-05  ,-4.874305751015e-01  ,-6.435530650619e-01  
  1.343059633316e-05  ,-4.627761866738e-01  ,-6.852735797822e-01  
  1.415748689712e-05  ,-4.337005641152e-01  ,-5.680098620601e-01  
  1.483039949478e-05  ,-4.067840602089e-01  ,-3.524382349955e-01  
  1.552801225723e-05  ,-3.788795497109e-01  ,-1.833050502326e-01  
  1.625490282119e-05  ,-3.498039271523e-01  ,-1.529224878817e-01  
  1.695118043960e-05  ,-3.219528224159e-01  ,-2.745207310036e-01  
  1.761627290786e-05  ,-2.953491236855e-01  ,-4.541535886958e-01  
  1.839141939224e-05  ,-2.643432643105e-01  ,-6.252505592113e-01  
  1.899042223037e-05  ,-2.403831507851e-01  ,-6.285629252450e-01  
  1.962289903701e-05  ,-2.150840785195e-01  ,-5.127396744234e-01  
  2.029295061172e-05  ,-1.882820155312e-01  ,-3.392011434409e-01  
  2.105760667862e-05  ,-1.576957728554e-01  ,-1.832328949911e-01  
  2.169847581924e-05  ,-1.320610072304e-01  ,-1.879939986310e-01  
  2.229499910415e-05  ,-1.082000758339e-01  ,-2.988763146056e-01  
  2.295150850357e-05  ,-8.193969985735e-02  ,-4.623156745434e-01  
  2.371196840347e-05  ,-5.152130386126e-02  ,-6.076142280660e-01  
  2.428770158828e-05  ,-2.849197646868e-02  ,-6.056880212183e-01  
  2.488746736587e-05  ,-4.501345365165e-03  ,-5.044265862581e-01  
  2.554559801162e-05  ,2.182388046491e-02  ,-3.486062082280e-01  
  2.630834672988e-05  ,5.233382919538e-02  ,-2.045574337989e-01  
  2.693519685806e-05  ,7.740783432234e-02  ,-2.048095355589e-01  
