  Time                 , V(V1:+)              , V(R2:1)              
  0.000000000000e+00  ,-1.000000000000e+00  ,-1.623169393697e-05  
  1.200000000000e-14  ,-1.000000000000e+00  ,-1.623169393890e-05  
  2.400000000000e-14  ,-1.000000000000e+00  ,-1.623169393890e-05  
  4.799929144303e-14  ,-1.000000000000e+00  ,-1.623169393928e-05  
  9.599787432910e-14  ,-1.000000000000e+00  ,-1.623169393918e-05  
  1.919950401012e-13  ,-1.000000000000e+00  ,-1.623169393867e-05  
  3.839893716455e-13  ,-1.000000000000e+00  ,-1.623169393718e-05  
  7.679780347340e-13  ,-1.000000000000e+00  ,-1.623169393802e-05  
  1.012000000000e-12  ,-9.999999999520e-01  ,-1.623169393937e-05  
  1.088797732618e-12  ,-9.999999996448e-01  ,-1.623169393669e-05  
  1.242388650380e-12  ,-9.999999990304e-01  ,-1.623169393598e-05  
  1.549570485903e-12  ,-9.999999978017e-01  ,-1.623169393150e-05  
  2.163934156951e-12  ,-9.999999953443e-01  ,-1.623169391635e-05  
  3.392661499046e-12  ,-9.999999904294e-01  ,-1.623169384799e-05  
  5.850116183237e-12  ,-9.999999805995e-01  ,-1.623169358623e-05  
  1.076502555162e-11  ,-9.999999609399e-01  ,-1.623169258707e-05  
  2.059484428838e-11  ,-9.999999216206e-01  ,-1.623168464172e-05  
  4.025448176190e-11  ,-9.999998429821e-01  ,-1.623165398138e-05  
  7.957375670895e-11  ,-9.999996857050e-01  ,-1.623153941030e-05  
  1.582123066030e-10  ,-9.999993711508e-01  ,-1.623113602002e-05  
  3.154894063912e-10  ,-9.999987420424e-01  ,-1.622985007239e-05  
  6.300436059676e-10  ,-9.999974838256e-01  ,-1.622633612478e-05  
  1.259152005120e-09  ,-9.999949673920e-01  ,-1.621843280063e-05  
  2.517368803426e-09  ,-9.999899345248e-01  ,-1.620432028323e-05  
  5.033802400037e-09  ,-9.999798687904e-01  ,-1.619404009557e-05  
  1.006666959326e-08  ,-9.999597373216e-01  ,-1.631708409867e-05  
  2.013240397970e-08  ,-9.999194743841e-01  ,-1.765858191512e-05  
  4.026387275259e-08  ,-9.998389485090e-01  ,-2.813664745181e-05  
  8.052681029837e-08  ,-9.996778967588e-01  ,-9.904645625468e-05  
  1.610526853899e-07  ,-9.993557932584e-01  ,-5.164544382014e-04  
  2.883205229143e-07  ,-9.988467219083e-01  ,-2.037757806516e-03  
  5.258331114153e-07  ,-9.978966715543e-01  ,-7.643202651234e-03  
  9.103069120745e-07  ,-9.963587763517e-01  ,-2.276406026159e-02  
  1.679254513393e-06  ,-9.932829859464e-01  ,-5.892889703340e-02  
  2.462984066616e-06  ,-9.901480677335e-01  ,-7.942205356269e-02  
  3.083730679164e-06  ,-9.876650812833e-01  ,-7.222522636854e-02  
  3.704668026576e-06  ,-9.851813318937e-01  ,-4.789503869634e-02  
  4.434228878627e-06  ,-9.822630884855e-01  ,-1.846568810580e-02  
  5.054880123744e-06  ,-9.797804835050e-01  ,-5.291864066662e-03  
  5.725217800746e-06  ,-9.770991327970e-01  ,-9.811338821831e-03  
  6.383539181362e-06  ,-9.744658472746e-01  ,-3.379489184193e-02  
  7.133031826625e-06  ,-9.714678766935e-01  ,-6.440732782879e-02  
  7.955099087367e-06  ,-9.681796076505e-01  ,-7.449964422957e-02  
  8.774877529750e-06  ,-9.649004938810e-01  ,-5.707742675876e-02  
  9.476400356899e-06  ,-9.620944025724e-01  ,-3.181621434828e-02  
  1.025498006881e-05  ,-9.589800837247e-01  ,-9.013579382631e-03  
  1.075642202438e-05  ,-9.569743159025e-01  ,-8.238472418762e-03  
  1.124956701339e-05  ,-9.550017359464e-01  ,-1.853334645088e-02  
  1.185543630661e-05  ,-9.525782587736e-01  ,-3.968583356447e-02  
  1.257011983932e-05  ,-9.497195246427e-01  ,-6.464316787637e-02  
  1.319344137252e-05  ,-9.472262385099e-01  ,-7.131701395015e-02  
  1.390001867355e-05  ,-9.443999293058e-01  ,-6.084870797003e-02  
  1.455719564498e-05  ,-9.417712214201e-01  ,-3.855352081730e-02  
  1.526739690841e-05  ,-9.389304163664e-01  ,-1.833657316056e-02  
  1.601498220504e-05  ,-9.359400751798e-01  ,-1.267279412810e-02  
  1.676533315719e-05  ,-9.329386713712e-01  ,-2.541447097702e-02  
  1.745398138107e-05  ,-9.301840784757e-01  ,-4.531575009277e-02  
  1.822378728927e-05  ,-9.271048548429e-01  ,-6.420440239162e-02  
  1.884920690597e-05  ,-9.246031763761e-01  ,-6.485563211667e-02  
  1.961615179122e-05  ,-9.215353968351e-01  ,-5.071095941774e-02  
  2.032663915695e-05  ,-9.186934473722e-01  ,-2.989668390427e-02  
  2.099688146652e-05  ,-9.160124781339e-01  ,-1.806967181509e-02  
  2.182047460617e-05  ,-9.127181055753e-01  ,-2.057066284547e-02  
  2.260096166671e-05  ,-9.095961573331e-01  ,-3.988535304165e-02  
  2.333881948532e-05  ,-9.066447260587e-01  ,-5.637137721463e-02  
  2.409241293014e-05  ,-9.036303522794e-01  ,-6.140756809151e-02  
  2.486851308883e-05  ,-9.005259516447e-01  ,-5.264598160545e-02  
  2.563622091354e-05  ,-8.974551203458e-01  ,-3.503070668241e-02  
  2.652161214889e-05  ,-8.939135554044e-01  ,-2.241527954672e-02  
  2.743218038620e-05  ,-8.902712824552e-01  ,-2.544053974654e-02  
  2.813828085006e-05  ,-8.874468805997e-01  ,-3.796494634868e-02  
  2.892315481247e-05  ,-8.843073847501e-01  ,-5.364673057181e-02  
