  Time                 , V(R2:1)              , V(R1:2)              
  0.000000000000e+00  ,-2.595060583551e+00  ,0.000000000000e+00  
  1.200000000000e-06  ,-2.595917043686e+00  ,7.539750930357e-03  
  2.400000000000e-06  ,-2.597674047995e+00  ,1.507907323604e-02  
  4.799826049805e-06  ,-2.602986665503e+00  ,3.015362515656e-02  
  9.599478149414e-06  ,-2.624398434654e+00  ,6.027873618871e-02  
  1.919878234863e-05  ,-2.710265434595e+00  ,1.203371636813e-01  
  3.839739074707e-05  ,-3.052533062692e+00  ,2.389243048405e-01  
  5.938127746582e-05  ,-3.680071791795e+00  ,3.645072290230e-01  
  7.727678527832e-05  ,-4.060652290113e+00  ,4.666898736383e-01  
  9.347856750488e-05  ,-4.065548884542e+00  ,5.541513870244e-01  
  1.089631866455e-04  ,-4.066642683233e+00  ,6.323909984633e-01  
  1.268281768799e-04  ,-4.066674077317e+00  ,7.151823290007e-01  
  1.535341094971e-04  ,-4.066875948986e+00  ,8.218685186128e-01  
  1.920350860596e-04  ,-4.067095610487e+00  ,9.344074915399e-01  
  2.440248321533e-04  ,-4.067285118143e+00  ,9.992953410888e-01  
  3.414003204346e-04  ,-4.067653544611e+00  ,8.395808480382e-01  
  4.116761993408e-04  ,-4.067448995117e+00  ,5.269048897542e-01  
  5.158998321533e-04  ,-3.892781494026e+00  ,-9.973549956719e-02  
  5.598634552002e-04  ,-2.568956305612e+00  ,-3.673267283232e-01  
  5.725923370361e-04  ,-2.045590919975e+00  ,-4.404601050805e-01  
  5.808595489502e-04  ,-1.662540059565e+00  ,-4.864792994701e-01  
  5.898637603760e-04  ,-1.204818229880e+00  ,-5.351038381680e-01  
  5.990220855713e-04  ,-6.960953663261e-01  ,-5.828032497880e-01  
  6.173387359619e-04  ,4.463723355505e-01  ,-6.722627355901e-01  
  6.539720367432e-04  ,3.169705511522e+00  ,-8.234329167139e-01  
  6.798265289307e-04  ,4.061971484426e+00  ,-9.043624365829e-01  
  7.022752593994e-04  ,4.066865088260e+00  ,-9.553768515424e-01  
  7.258104156494e-04  ,4.067219188102e+00  ,-9.884720955992e-01  
  7.562028717041e-04  ,4.067363820313e+00  ,-9.992406178845e-01  
  7.880937408447e-04  ,4.067429929288e+00  ,-9.714922685841e-01  
  8.518754791260e-04  ,4.067667068443e+00  ,-8.020345330115e-01  
  9.366411041260e-04  ,4.066988828257e+00  ,-3.876636457474e-01  
  1.036299307251e-03  ,3.130118152364e+00  ,2.261030613679e-01  
  1.080336172485e-03  ,1.355818636944e+00  ,4.836035628280e-01  
  1.093042166138e-03  ,6.943352962152e-01  ,5.518668300511e-01  
  1.102610952759e-03  ,1.445256798026e-01  ,6.009775689376e-01  
  1.112928945923e-03  ,-4.979301118212e-01  ,6.514950927591e-01  
  1.123677236938e-03  ,-1.220116989558e+00  ,7.012055456808e-01  
