  Time                 , V(V1:+)              , V(U1A:OUT)           
  0.000000000000e+00  ,-1.000000000000e+00  ,4.067331621236e+00  
  1.200000000000e-14  ,-1.000000000000e+00  ,4.067331621236e+00  
  2.400000000000e-14  ,-1.000000000000e+00  ,4.067331621236e+00  
  4.799929144303e-14  ,-1.000000000000e+00  ,4.067331621236e+00  
  9.599787432910e-14  ,-1.000000000000e+00  ,4.067331621236e+00  
  1.919950401012e-13  ,-1.000000000000e+00  ,4.067331621236e+00  
  3.839893716455e-13  ,-1.000000000000e+00  ,4.067331621236e+00  
  7.679780347340e-13  ,-1.000000000000e+00  ,4.067331621236e+00  
  1.012000000000e-12  ,-9.760000000000e-01  ,4.067331661783e+00  
  1.088797732618e-12  ,-8.224045347646e-01  ,4.067331852858e+00  
  1.242388650380e-12  ,-5.152226992408e-01  ,4.067332551417e+00  
  1.549570485903e-12  ,9.914097180683e-02  ,4.067335846451e+00  
  2.012000000000e-12  ,1.000000000000e+00  ,4.067345501198e+00  
  2.073436367105e-12  ,1.000000000000e+00  ,4.067347148237e+00  
  2.196309101314e-12  ,1.000000000000e+00  ,4.067350442000e+00  
  2.442054569733e-12  ,1.000000000000e+00  ,4.067357028701e+00  
  2.933545506571e-12  ,1.000000000000e+00  ,4.067370197270e+00  
  3.916527380248e-12  ,1.000000000000e+00  ,4.067396501275e+00  
  5.882491127600e-12  ,1.000000000000e+00  ,4.067449004205e+00  
  9.814418622305e-12  ,1.000000000000e+00  ,4.067553591089e+00  
  1.767827361171e-11  ,1.000000000000e+00  ,4.067761101898e+00  
  3.340598359053e-11  ,1.000000000000e+00  ,4.068169549043e+00  
  6.486140354817e-11  ,1.000000000000e+00  ,4.068960847176e+00  
  1.277722434634e-10  ,1.000000000000e+00  ,4.070446304377e+00  
  2.535939232940e-10  ,1.000000000000e+00  ,4.073066900866e+00  
  5.052372829551e-10  ,1.000000000000e+00  ,4.077162403342e+00  
  1.008524002277e-09  ,1.000000000000e+00  ,4.082228784560e+00  
  2.015097440922e-09  ,1.000000000000e+00  ,4.086199578400e+00  
  4.028244318211e-09  ,1.000000000000e+00  ,4.087267230928e+00  
  8.054538072788e-09  ,1.000000000000e+00  ,4.087049766272e+00  
  1.610712558194e-08  ,1.000000000000e+00  ,4.087069339346e+00  
  3.221230060025e-08  ,1.000000000000e+00  ,4.087094728320e+00  
  6.442265063688e-08  ,1.000000000000e+00  ,4.086982621685e+00  
  1.288433507101e-07  ,1.000000000000e+00  ,4.086880080418e+00  
  2.576847508566e-07  ,1.000000000000e+00  ,4.086633947288e+00  
  5.153675511496e-07  ,1.000000000000e+00  ,4.086147928893e+00  
  1.030733151736e-06  ,1.000000000000e+00  ,4.085208554324e+00  
  2.061464352907e-06  ,1.000000000000e+00  ,4.083358703470e+00  
  4.122926755251e-06  ,1.000000000000e+00  ,4.079570088835e+00  
  6.478120847048e-06  ,1.000000000000e+00  ,4.074359491168e+00  
  7.987787289919e-06  ,1.000000000000e+00  ,4.065095587240e+00  
  8.804037137331e-06  ,1.000000000000e+00  ,3.872238918135e+00  
  9.028818173708e-06  ,1.000000000000e+00  ,3.864410101414e+00  
  9.219767613711e-06  ,1.000000000000e+00  ,3.852562745007e+00  
  9.355999989809e-06  ,1.000000000000e+00  ,3.839157141274e+00  
  9.513237042727e-06  ,1.000000000000e+00  ,3.821924098398e+00  
  9.596623940767e-06  ,1.000000000000e+00  ,3.813544556946e+00  
  9.763397736849e-06  ,1.000000000000e+00  ,3.797474671896e+00  
  9.971251054110e-06  ,1.000000000000e+00  ,3.776878662458e+00  
  1.017786459476e-05  ,1.000000000000e+00  ,3.756182061096e+00  
