Time,V(R5:2)
0.000000000000e+00,3.955838586916e-05
8.000000000000e-14,3.955838589057e-05
1.600000000000e-13,3.955838589057e-05
3.200028554094e-13,3.955838563081e-05
6.400085662282e-13,3.955838589057e-05
1.080000000000e-12,3.955838574145e-05
1.160000000000e-12,3.955838589057e-05
1.320002855409e-12,3.955838589057e-05
1.640008566228e-12,3.955838589057e-05
2.280019987866e-12,3.955838576070e-05
3.560042831141e-12,3.955838576070e-05
6.120088517691e-12,3.955838578839e-05
1.124017989079e-11,3.955838577461e-05
2.148036263699e-11,3.955838577305e-05
4.196072812940e-11,3.955838577436e-05
8.292145911420e-11,3.955838577661e-05
1.648429210838e-10,3.955838577563e-05
3.286858450230e-10,3.955838577546e-05
6.563716929015e-10,3.955838577578e-05
1.311743388658e-09,3.955838577580e-05
2.622486780172e-09,3.955838577560e-05
5.243973563200e-09,3.955838577580e-05
1.048694712926e-08,3.955838577671e-05
2.097289426137e-08,3.955838577939e-05
4.194478852559e-08,3.955838578576e-05
7.071595055867e-08,3.955838579558e-05
1.196930871706e-07,3.955838581401e-05
1.970718370180e-07,3.955838583824e-05
3.212402330141e-07,3.955838585471e-05
5.146930680971e-07,3.955838585501e-05
8.296440110903e-07,3.955838585712e-05
1.365322874616e-06,3.955838585680e-05
2.138085173200e-06,3.955838586641e-05
2.664894865582e-06,3.955838586273e-05
3.198284910748e-06,3.955838586809e-05
3.952259825299e-06,3.955838587006e-05
4.616398619245e-06,3.955838588513e-05
5.324024962018e-06,3.955838586036e-05
5.998654173444e-06,3.955838586989e-05
6.676716612409e-06,3.955838586711e-05
7.378048704694e-06,3.955838586017e-05
8.121914671491e-06,3.955838585654e-05
8.778710173200e-06,3.955838585798e-05
9.487576292584e-06,3.955838587154e-05
9.995121763776e-06,3.955838587249e-05
1.052364806993e-05,3.955838586856e-05
1.110233764512e-05,3.955838586574e-05
1.177696685655e-05,3.955838586759e-05
1.230625610215e-05,3.955838587000e-05
1.291870574815e-05,3.955838586784e-05
1.355366210801e-05,3.955838585978e-05
1.424383621080e-05,3.955838587355e-05
1.463241081102e-05,3.955838586142e-05
1.511830787523e-05,3.955838587052e-05
1.571959953172e-05,3.955838587304e-05
1.633729438646e-05,3.955838586128e-05
