#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E135
#Date Time: 2023-11-01 14:07:57.995
#Sample rate: 40000Hz
#Samples: 4096

Time (s),DIO 0,DIO 1,DIO 3
-0.051175,0,0,0
-0.05115,0,0,0
-0.051125,0,0,0
-0.0511,0,0,0
-0.051075,0,0,0
-0.05105,0,0,0
-0.051025,0,0,0
-0.051,0,0,0
-0.050975,0,0,0
-0.05095,0,0,0
-0.050925,0,0,0
-0.0509,0,0,0
-0.050875,0,0,0
-0.05085,0,0,0
-0.050825,0,0,0
-0.0508,0,0,0
-0.050775,0,0,0
-0.05075,0,0,0
-0.050725,0,0,0
-0.0507,0,0,0
-0.050675,0,0,0
-0.05065,0,0,0
-0.050625,0,0,0
-0.0506,0,0,0
-0.050575,0,0,0
-0.05055,0,0,0
-0.050525,0,0,0
-0.0505,0,0,0
-0.050475,0,0,0
-0.05045,0,0,0
-0.050425,0,0,0
-0.0504,0,0,0
-0.050375,0,0,0
-0.05035,0,0,0
-0.050325,0,0,0
-0.0503,0,0,0
-0.050275,0,0,0
-0.05025,0,0,0
-0.050225,0,0,0
-0.0502,0,0,0
-0.050175,0,0,0
-0.05015,0,0,0
-0.050125,0,0,0
-0.0501,0,0,0
-0.050075,0,0,0
-0.05005,0,0,0
-0.050025,0,0,0
-0.05,0,0,0
-0.049975,0,0,0
-0.04995,0,0,0
-0.049925,0,0,0
-0.0499,0,0,0
-0.049875,0,0,0
-0.04985,0,0,0
-0.049825,0,0,0
-0.0498,0,0,0
-0.049775,1,0,0
-0.04975,1,0,0
-0.049725,1,0,0
-0.0497,1,0,0
-0.049675,1,0,0
-0.04965,1,0,0
-0.049625,1,0,0
-0.0496,1,0,0
-0.049575,1,0,0
-0.04955,1,0,0
-0.049525,1,0,0
-0.0495,1,0,0
-0.049475,1,0,0
-0.04945,1,0,0
-0.049425,1,0,0
-0.0494,1,0,0
-0.049375,1,0,0
-0.04935,1,0,0
-0.049325,1,0,0
-0.0493,1,0,0
-0.049275,1,0,0
-0.04925,1,0,0
-0.049225,1,0,0
-0.0492,1,0,0
-0.049175,1,0,0
-0.04915,1,0,0
-0.049125,1,0,0
-0.0491,1,0,0
-0.049075,1,0,0
-0.04905,1,0,0
-0.049025,1,0,0
-0.049,1,0,0
-0.048975,1,0,0
-0.04895,1,0,0
-0.048925,1,0,0
-0.0489,1,0,0
-0.048875,1,0,0
-0.04885,1,0,0
-0.048825,1,0,0
-0.0488,1,0,0
-0.048775,1,0,0
-0.04875,1,0,0
-0.048725,1,0,0
-0.0487,1,0,0
-0.048675,1,0,0
-0.04865,1,0,0
-0.048625,1,0,0
-0.0486,1,0,0
-0.048575,1,0,0
-0.04855,1,0,0
-0.048525,1,0,0
-0.0485,1,0,0
-0.048475,1,0,0
-0.04845,1,0,0
-0.048425,1,0,0
-0.0484,1,0,0
-0.048375,1,0,0
-0.04835,1,0,0
-0.048325,1,0,0
-0.0483,1,0,0
-0.048275,1,0,0
-0.04825,1,0,0
-0.048225,1,0,0
-0.0482,1,0,0
-0.048175,1,0,0
-0.04815,1,0,0
-0.048125,1,0,0
-0.0481,1,0,0
-0.048075,1,0,0
-0.04805,1,0,0
-0.048025,1,0,0
-0.048,1,0,0
-0.047975,1,0,0
-0.04795,1,0,0
-0.047925,1,0,0
-0.0479,1,0,0
-0.047875,1,0,0
-0.04785,1,0,0
-0.047825,1,0,0
-0.0478,1,0,0
-0.047775,1,0,0
-0.04775,1,0,0
-0.047725,1,0,0
-0.0477,1,0,0
-0.047675,1,0,0
-0.04765,1,0,0
-0.047625,1,0,0
-0.0476,1,0,0
-0.047575,1,0,0
-0.04755,1,0,0
-0.047525,1,0,0
-0.0475,1,0,0
-0.047475,1,0,0
-0.04745,1,0,0
-0.047425,1,0,0
-0.0474,1,0,0
-0.047375,1,0,0
-0.04735,1,0,0
-0.047325,1,0,0
-0.0473,1,0,0
-0.047275,1,0,0
-0.04725,1,0,0
-0.047225,1,0,0
-0.0472,1,0,0
-0.047175,1,0,0
-0.04715,1,0,0
-0.047125,1,0,0
-0.0471,1,0,0
-0.047075,1,0,0
-0.04705,1,0,0
-0.047025,1,0,0
-0.047,1,0,0
-0.046975,1,0,0
-0.04695,1,0,0
-0.046925,1,0,0
-0.0469,1,0,0
-0.046875,1,0,0
-0.04685,1,0,0
-0.046825,1,0,0
-0.0468,1,0,0
-0.046775,1,0,0
-0.04675,1,0,0
-0.046725,1,0,0
-0.0467,1,0,0
-0.046675,1,0,0
-0.04665,1,0,0
-0.046625,1,0,0
-0.0466,1,0,0
-0.046575,1,0,0
-0.04655,1,0,0
-0.046525,1,0,0
-0.0465,1,0,0
-0.046475,1,0,0
-0.04645,1,0,0
-0.046425,1,0,0
-0.0464,1,0,0
-0.046375,1,0,0
-0.04635,1,0,0
-0.046325,1,0,0
-0.0463,1,0,0
-0.046275,1,0,0
-0.04625,1,0,0
-0.046225,1,0,0
-0.0462,1,0,0
-0.046175,1,0,0
-0.04615,1,0,0
-0.046125,1,0,0
-0.0461,1,0,0
-0.046075,1,0,0
-0.04605,1,0,0
-0.046025,1,0,0
-0.046,1,0,0
-0.045975,1,0,0
-0.04595,1,0,0
-0.045925,1,0,0
-0.0459,1,0,0
