#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E135
#Date Time: 2023-11-01 14:50:45.579
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),DIO 0,DIO 1,DIO 3
-0.0005117500000000001,1,1,0
-0.0005115,1,1,0
-0.00051125,1,1,0
-0.000511,1,1,0
-0.00051075,1,1,0
-0.0005105,1,1,0
-0.00051025,1,1,0
-0.00051,1,1,0
-0.00050975,1,1,0
-0.0005095,1,1,0
-0.00050925,1,1,0
-0.000509,1,1,0
-0.00050875,1,1,0
-0.0005084999999999999,1,1,0
-0.00050825,1,1,0
-0.000508,1,1,0
-0.00050775,1,1,0
-0.0005075,1,1,0
-0.00050725,1,1,0
-0.000507,1,1,0
-0.00050675,1,1,0
-0.0005065,0,1,0
-0.00050625,0,1,0
-0.000506,0,1,0
-0.00050575,0,1,0
-0.0005055,0,1,0
-0.0005052499999999999,0,1,0
-0.000505,0,1,0
-0.00050475,0,1,0
-0.0005045,0,1,0
-0.00050425,0,1,0
-0.000504,0,1,0
-0.00050375,0,1,0
-0.0005035,0,1,0
-0.00050325,0,1,0
-0.000503,0,1,0
-0.0005027500000000001,0,1,0
-0.0005025,0,1,0
-0.00050225,0,1,0
-0.000502,0,1,0
-0.00050175,0,1,0
-0.0005015,0,1,0
-0.00050125,0,1,0
-0.000501,0,1,0
-0.00050075,0,1,0
-0.0005005,0,1,0
-0.00050025,0,1,0
-0.0005,0,1,0
-0.00049975,0,1,0
-0.0004995000000000001,0,1,0
-0.00049925,0,1,0
-0.000499,0,1,0
-0.00049875,1,0,0
-0.0004985,1,0,0
-0.00049825,1,0,0
-0.000498,1,0,0
-0.00049775,1,0,0
-0.0004975,1,0,0
-0.00049725,1,0,0
-0.000497,1,0,0
-0.00049675,1,0,0
-0.0004965,1,0,0
-0.0004962499999999999,1,0,0
-0.000496,1,0,0
-0.00049575,1,0,0
-0.0004955,1,0,0
-0.00049525,1,0,0
-0.000495,1,0,0
-0.00049475,1,0,0
-0.0004945,1,0,0
-0.00049425,1,0,0
-0.000494,1,0,0
-0.00049375,1,0,0
-0.0004935,1,0,0
-0.00049325,1,0,0
-0.0004929999999999999,1,0,0
-0.00049275,1,0,0
-0.0004925,1,0,0
-0.00049225,1,0,0
-0.000492,1,0,0
-0.00049175,1,0,0
-0.0004915,1,0,0
-0.00049125,1,0,0
-0.000491,1,0,0
-0.00049075,0,0,0
-0.0004905000000000001,0,0,0
-0.00049025,0,0,0
-0.00049,0,0,0
-0.00048975,0,0,0
-0.0004895,0,0,0
-0.00048925,0,0,0
-0.000489,0,0,0
-0.00048875,0,0,0
-0.0004885,0,0,0
-0.00048825,0,0,0
-0.000488,0,0,0
-0.00048775,0,0,0
-0.0004875,0,0,0
-0.00048725,0,0,0
-0.000487,0,0,0
-0.00048675,0,0,0
-0.0004865,0,0,0
-0.00048625,0,0,0
-0.000486,0,0,0
-0.00048575,0,0,0
-0.0004855,0,0,0
-0.00048525,0,0,0
-0.000485,0,0,0
-0.00048475,0,0,0
-0.0004845,0,0,0
-0.00048425,0,0,0
-0.000484,0,0,0
-0.00048375,0,0,0
-0.0004835,0,0,0
-0.00048325,0,0,0
-0.000483,0,0,0
-0.00048275,0,0,0
-0.0004825,0,0,0
-0.00048225,0,0,0
-0.000482,0,0,0
-0.00048175,0,0,0
-0.0004815,0,0,0
-0.00048125,0,0,0
-0.000481,0,0,0
-0.00048075,0,0,0
-0.0004805,0,0,0
-0.00048025,0,0,0
-0.00048,0,0,0
-0.00047975,0,0,0
-0.0004795,0,0,0
-0.00047925,0,0,0
-0.000479,0,0,0
-0.00047875,0,0,0
-0.0004785,0,0,0
-0.00047825,0,0,0
-0.000478,0,0,0
-0.00047775,0,0,0
-0.0004775,0,0,0
-0.00047725,0,0,0
