  Time                 , V(U8:IN7)            , V(V6:+)              
  0.000000000000e+00  ,4.999999940047e+00  ,2.500000000000e+00  
  1.000000000000e-07  ,4.999999940046e+00  ,2.501570796223e+00  
  2.000000000000e-07  ,4.999999940045e+00  ,2.503141591827e+00  
  4.000093460083e-07  ,4.999999940045e+00  ,2.506283325499e+00  
  8.000280380249e-07  ,4.999999940042e+00  ,2.512566758112e+00  
  1.600065422058e-06  ,4.999999940042e+00  ,2.525133345487e+00  
  3.200140190125e-06  ,4.999999940043e+00  ,2.550264297470e+00  
  6.400289726257e-06  ,4.999999940044e+00  ,2.600508420738e+00  
  1.280058879852e-05  ,4.999999940045e+00  ,2.700854469262e+00  
  2.280119915009e-05  ,4.999999940046e+00  ,2.856936471112e+00  
  3.280180950165e-05  ,4.999999940046e+00  ,3.011609635873e+00  
  3.405188579559e-05  ,4.999999940041e+00  ,3.030814239859e+00  
  3.655203838348e-05  ,4.999999940044e+00  ,3.069124023716e+00  
  4.155234355927e-05  ,4.999999940045e+00  ,3.145312852632e+00  
  5.155295391083e-05  ,4.999999940046e+00  ,3.295705169916e+00  
  5.280303020477e-05  ,4.999999940041e+00  ,3.314295429261e+00  
  5.530318279266e-05  ,4.999999940044e+00  ,3.351324097048e+00  
  5.587681789398e-05  ,4.999999940034e+00  ,3.359790656362e+00  
  5.702408809662e-05  ,4.999999940040e+00  ,3.376690157444e+00  
  5.731090564728e-05  ,4.999999940021e+00  ,3.380907949007e+00  
  5.738261003494e-05  ,4.999999939943e+00  ,3.381961950418e+00  
  5.740053613186e-05  ,4.999999939640e+00  ,3.382225422807e+00  
  5.741555650234e-05  ,4.999999939682e+00  ,3.382446179084e+00  
  5.741854977310e-05  ,4.999999938709e+00  ,3.382490170622e+00  
  5.742384713590e-05  ,4.999999938821e+00  ,3.382568024204e+00  
  5.742941048443e-05  ,4.999999939020e+00  ,3.382649785836e+00  
  5.744053718150e-05  ,4.999999939371e+00  ,3.382813305866e+00  
  5.745780000000e-05  ,4.999999939612e+00  ,3.383066994948e+00  
  5.745790000000e-05  ,4.999999929090e+00  ,3.383068464487e+00  
  5.746283750000e-05  ,4.999999943652e+00  ,3.383141022543e+00  
