  Time                 , V(U2B:+)             , V(U4:IN7)            , V(R8:2)              , V(U1B:OUT)           
  0.000000000000e+00  ,2.500000000000e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,7.825810385217e-02  
  1.000000000000e-07  ,2.501570796223e+00  ,4.999999940047e+00  ,4.999999940046e+00  ,7.825809486056e-02  
  2.000000000000e-07  ,2.503141591827e+00  ,4.999999940047e+00  ,4.999999940045e+00  ,7.825809486045e-02  
  4.000093460083e-07  ,2.506283325499e+00  ,4.999999940047e+00  ,4.999999940045e+00  ,7.825809484083e-02  
  8.000280380249e-07  ,2.512566758112e+00  ,4.999999940047e+00  ,4.999999940042e+00  ,7.825809484087e-02  
  1.600065422058e-06  ,2.525133345487e+00  ,4.999999940047e+00  ,4.999999940042e+00  ,7.825809499967e-02  
  3.200140190125e-06  ,2.550264297470e+00  ,4.999999940047e+00  ,4.999999940043e+00  ,7.825809517149e-02  
  6.400289726257e-06  ,2.600508420738e+00  ,4.999999940047e+00  ,4.999999940044e+00  ,7.825809532459e-02  
  1.280058879852e-05  ,2.700854469262e+00  ,4.999999940047e+00  ,4.999999940045e+00  ,7.825809545449e-02  
  2.280119915009e-05  ,2.856936471112e+00  ,4.999999940047e+00  ,4.999999940046e+00  ,7.825809564683e-02  
  3.280180950165e-05  ,3.011609635873e+00  ,4.999999940047e+00  ,4.999999940046e+00  ,7.825812478821e-02  
  3.405188579559e-05  ,3.030814239859e+00  ,4.999999940047e+00  ,4.999999940041e+00  ,7.825813295995e-02  
  3.655203838348e-05  ,3.069124023716e+00  ,4.999999940047e+00  ,4.999999940044e+00  ,7.825833137357e-02  
  4.155234355927e-05  ,3.145312852632e+00  ,4.999999940047e+00  ,4.999999940045e+00  ,7.826344415887e-02  
  5.155295391083e-05  ,3.295705169916e+00  ,4.999999940047e+00  ,4.999999940046e+00  ,8.022198805636e-02  
  5.280303020477e-05  ,3.314295429261e+00  ,4.999999940047e+00  ,4.999999940041e+00  ,8.169060059092e-02  
  5.530318279266e-05  ,3.351324097048e+00  ,4.999999940047e+00  ,4.999999940044e+00  ,9.357970423663e-02  
  5.587681789398e-05  ,3.359790656362e+00  ,4.999999940047e+00  ,4.999999940034e+00  ,1.001473599860e-01  
  5.702408809662e-05  ,3.376690157444e+00  ,4.999999940047e+00  ,4.999999940040e+00  ,1.339148160296e-01  
  5.731090564728e-05  ,3.380907949007e+00  ,4.999999940047e+00  ,4.999999940021e+00  ,1.714434248030e-01  
  5.738261003494e-05  ,3.381961950418e+00  ,4.999999940047e+00  ,4.999999939943e+00  ,2.129245902310e-01  
  5.740053613186e-05  ,3.382225422807e+00  ,4.999999940047e+00  ,4.999999939639e+00  ,2.583408551447e-01  
  5.741555650234e-05  ,3.382446179084e+00  ,4.999999940047e+00  ,4.999999939681e+00  ,3.921780321125e-01  
  5.741854977310e-05  ,3.382490170622e+00  ,4.999999940047e+00  ,4.999999938706e+00  ,4.191320726629e-01  
  5.742384713590e-05  ,3.382568024204e+00  ,4.999999940047e+00  ,4.999999938818e+00  ,4.680753488913e-01  
  5.742941048443e-05  ,3.382649785836e+00  ,4.999999940047e+00  ,4.999999939018e+00  ,5.209560962874e-01  
  5.744053718150e-05  ,3.382813305866e+00  ,4.999999940047e+00  ,4.999999939369e+00  ,6.285285708079e-01  
  5.745780000000e-05  ,3.383066994948e+00  ,4.999999940047e+00  ,4.999999939611e+00  ,7.998263991796e-01  
  5.745790000000e-05  ,3.383068464487e+00  ,4.999999940047e+00  ,4.999999929069e+00  ,8.008347569269e-01  
  5.746283750000e-05  ,3.383141022543e+00  ,4.999999940049e+00  ,4.999999943659e+00  ,8.508305635590e-01  
  5.747271249952e-05  ,3.383286136100e+00  ,4.999999940047e+00  ,4.999999940789e+00  ,9.521566805956e-01  
  5.747518124940e-05  ,3.383322413958e+00  ,4.999999940047e+00  ,4.999999940159e+00  ,9.777637286037e-01  
  5.748011874917e-05  ,3.383394969035e+00  ,4.999999940047e+00  ,4.999999940032e+00  ,1.029311427280e+00  
  5.748135312411e-05  ,3.383413107672e+00  ,4.999999940047e+00  ,4.999999940223e+00  ,1.042267343025e+00  
  5.748382187399e-05  ,3.383449384786e+00  ,4.999999940047e+00  ,4.999999940201e+00  ,1.057466897514e+00  
  5.748875937375e-05  ,3.383521938376e+00  ,4.999999940047e+00  ,4.999999940089e+00  ,1.076351916057e+00  
  5.749863437327e-05  ,3.383667043005e+00  ,4.999999940047e+00  ,4.999999940078e+00  ,1.099985655281e+00  
  5.750110312315e-05  ,3.383703318631e+00  ,4.999999940047e+00  ,4.999999940158e+00  ,1.105459601899e+00  
  5.750604062291e-05  ,3.383775869244e+00  ,4.999999940047e+00  ,4.999999940149e+00  ,1.116544226511e+00  
  5.750727499785e-05  ,3.383794006765e+00  ,4.999999940047e+00  ,4.999999940407e+00  ,1.119331031548e+00  
  5.750974374774e-05  ,3.383830281646e+00  ,4.999999940047e+00  ,4.999999940431e+00  ,1.129845051073e+00  
  5.751468124750e-05  ,3.383902830771e+00  ,4.999999940047e+00  ,4.999999940188e+00  ,1.156401871951e+00  
  5.751860000000e-05  ,3.383960410334e+00  ,4.999999940047e+00  ,4.999999940207e+00  ,1.191739998918e+00  
  5.751930000000e-05  ,3.383970695615e+00  ,4.999999940047e+00  ,4.999999940732e+00  ,1.198925627812e+00  
  5.751940000000e-05  ,3.383972164940e+00  ,4.999999940048e+00  ,4.999999941580e+00  ,1.199822900804e+00  
  5.751950000000e-05  ,3.383973634264e+00  ,4.999999940048e+00  ,4.999999941146e+00  ,1.200768065646e+00  
  5.752713386488e-05  ,3.384085799456e+00  ,4.999999940048e+00  ,4.999999938921e+00  ,1.307239696261e+00  
  5.753506724310e-05  ,3.384202363275e+00  ,4.999999940047e+00  ,4.999999939916e+00  ,1.423224722073e+00  
  5.755093399954e-05  ,3.384435484321e+00  ,4.999999940047e+00  ,4.999999940033e+00  ,1.660205734234e+00  
  5.757300000000e-05  ,3.384759672650e+00  ,4.999999940047e+00  ,4.999999939968e+00  ,1.999301384248e+00  
  5.757310000000e-05  ,3.384761141787e+00  ,4.999999940047e+00  ,4.999999937661e+00  ,2.000860844559e+00  
  5.764985886154e-05  ,3.385888731581e+00  ,4.999999940049e+00  ,4.999999941212e+00  ,3.267691637450e+00  
  5.772695150909e-05  ,3.387021017294e+00  ,4.999999940047e+00  ,4.999999940060e+00  ,4.674618055143e+00  
  5.777374711571e-05  ,3.387708218658e+00  ,4.999999940047e+00  ,4.999999940045e+00  ,4.999172799167e+00  
  5.780851450500e-05  ,3.388218733939e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,5.000877073142e+00  
  5.781818535862e-05  ,3.388360730699e+00  ,4.999999940047e+00  ,4.999999940049e+00  ,5.000034847459e+00  
  5.783175435600e-05  ,3.388559958219e+00  ,4.999999940047e+00  ,4.999999940049e+00  ,4.999985839159e+00  
  5.785889235077e-05  ,3.388958393881e+00  ,4.999999940047e+00  ,4.999999940048e+00  ,4.999998680522e+00  
  5.791316834030e-05  ,3.389755187657e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999853691e+00  
  5.802172031937e-05  ,3.391348464682e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999735221e+00  
  5.823882427750e-05  ,3.394533774039e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999910174e+00  
  5.867303219376e-05  ,3.400899393235e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999899343e+00  
  5.947736111221e-05  ,3.412673347286e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999947546e+00  
  6.053460445938e-05  ,3.428114017029e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999916174e+00  
  6.264909115372e-05  ,3.458871811270e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999957432e+00  
  6.640313473282e-05  ,3.513058548419e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940974e+00  
  7.033761349258e-05  ,3.569244327608e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999939157e+00  
  7.407029476700e-05  ,3.621944899489e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999939973e+00  
  8.153565731583e-05  ,3.725466106202e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940109e+00  
  9.153626766739e-05  ,3.859879279537e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999939992e+00  
  1.015368780190e-04  ,3.988924975692e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940042e+00  
  1.115374883705e-04  ,4.112093848108e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940042e+00  
  1.215380987221e-04  ,4.228899746199e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940042e+00  
  1.315387090736e-04  ,4.338881634191e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  1.415393194252e-04  ,4.441605410851e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  1.515399297768e-04  ,4.536665622889e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  1.615405401283e-04  ,4.623687065295e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  1.715411504799e-04  ,4.702326262281e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  1.815417608315e-04  ,4.772272822991e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  1.915423711830e-04  ,4.833250666618e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.015429815346e-04  ,4.885019112103e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.115435918861e-04  ,4.927373828110e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.215442022377e-04  ,4.960147639528e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.315448125893e-04  ,4.983211187310e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.415454229408e-04  ,4.996473439063e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.515460332924e-04  ,4.999882048351e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.615466436440e-04  ,4.993423561308e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.715472539955e-04  ,4.977123469743e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.815478643471e-04  ,4.951046110521e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  2.915484746986e-04  ,4.915294411625e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  3.015490850502e-04  ,4.870009485894e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  3.115496954018e-04  ,4.815370074051e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  3.215503057533e-04  ,4.751591839209e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  3.315509161049e-04  ,4.678926515638e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  3.415515264565e-04  ,4.597660915170e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  3.515521368080e-04  ,4.508115795141e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
  3.615527471596e-04  ,4.410644592357e+00  ,4.999999940047e+00  ,4.999999940047e+00  ,4.999999940046e+00  
